start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: java.lang.String	0
r1 := @parameter0: java.lang.String	r2 := @parameter1: org.apache.catalina.util.ContextName	0
r2 := @parameter1: org.apache.catalina.util.ContextName	r3 := @parameter2: java.lang.String	0
r3 := @parameter2: java.lang.String	r4 := @parameter3: org.apache.tomcat.util.res.StringManager	0
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	$r5 = new java.io.StringWriter	0
$r5 = new java.io.StringWriter	specialinvoke $r5.<java.io.StringWriter: void <init>()>()	1
specialinvoke $r5.<java.io.StringWriter: void <init>()>()	r6 = $r5	0
r6 = $r5	$r8 = new java.io.PrintWriter	0
$r8 = new java.io.PrintWriter	specialinvoke $r8.<java.io.PrintWriter: void <init>(java.io.Writer)>(r6)	1
specialinvoke $r8.<java.io.PrintWriter: void <init>(java.io.Writer)>(r6)	r7 = $r8	0
r7 = $r8	specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void deploy(java.io.PrintWriter,java.lang.String,org.apache.catalina.util.ContextName,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r7, r1, r2, r3, 0, r4)	1
specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void deploy(java.io.PrintWriter,java.lang.String,org.apache.catalina.util.ContextName,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r7, r1, r2, r3, 0, r4)	$r9 = virtualinvoke r6.<java.io.StringWriter: java.lang.String toString()>()	0
$r9 = virtualinvoke r6.<java.io.StringWriter: java.lang.String toString()>()	return $r9	1
