start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: javax.servlet.http.HttpServletResponse	0
r2 := @parameter1: javax.servlet.http.HttpServletResponse	r3 := @parameter2: org.apache.catalina.util.ContextName	0
r3 := @parameter2: org.apache.catalina.util.ContextName	r4 := @parameter3: java.lang.String	0
r4 := @parameter3: java.lang.String	r5 := @parameter4: org.apache.tomcat.util.res.StringManager	0
r5 := @parameter4: org.apache.tomcat.util.res.StringManager	r6 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r3, r4, r5)	0
r6 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r3, r4, r5)	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Pragma", "No-cache")	1
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Pragma", "No-cache")	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Cache-Control", "no-cache,no-store,max-age=0")	0
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Cache-Control", "no-cache,no-store,max-age=0")	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setDateHeader(java.lang.String,long)>("Expires", 0L)	0
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setDateHeader(java.lang.String,long)>("Expires", 0L)	interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("currentSession", r6)	0
interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("currentSession", r6)	$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: javax.servlet.ServletContext getServletContext()>()	0
$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: javax.servlet.ServletContext getServletContext()>()	$r8 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.lang.String encodeURL(java.lang.String)>("/WEB-INF/jsp/sessionDetail.jsp")	1
$r8 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.lang.String encodeURL(java.lang.String)>("/WEB-INF/jsp/sessionDetail.jsp")	$r9 = interfaceinvoke $r7.<javax.servlet.ServletContext: javax.servlet.RequestDispatcher getRequestDispatcher(java.lang.String)>($r8)	1
$r9 = interfaceinvoke $r7.<javax.servlet.ServletContext: javax.servlet.RequestDispatcher getRequestDispatcher(java.lang.String)>($r8)	interfaceinvoke $r9.<javax.servlet.RequestDispatcher: void include(javax.servlet.ServletRequest,javax.servlet.ServletResponse)>(r1, r2)	1
interfaceinvoke $r9.<javax.servlet.RequestDispatcher: void include(javax.servlet.ServletRequest,javax.servlet.ServletResponse)>(r1, r2)	return	0
