start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: javax.servlet.http.HttpServletResponse	0
r2 := @parameter1: javax.servlet.http.HttpServletResponse	$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	0
$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r12)	1
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r12)	r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	1
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	1
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	r6 = null	1
r6 = null	if r5 == null goto r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	1
if r5 == null goto r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	$r13 = new org.apache.catalina.util.ContextName	0
if r5 == null goto r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	0
$r13 = new org.apache.catalina.util.ContextName	$r14 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("version")	1
$r14 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("version")	specialinvoke $r13.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r5, $r14)	1
specialinvoke $r13.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r5, $r14)	r6 = $r13	0
r6 = $r13	r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	1
r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	r8 = null	1
r8 = null	if r7 == null goto r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	1
if r7 == null goto r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	$r15 = new org.apache.catalina.util.ContextName	0
if r7 == null goto r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	0
$r15 = new org.apache.catalina.util.ContextName	$r16 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployVersion")	1
$r16 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployVersion")	specialinvoke $r15.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r7, $r16)	1
specialinvoke $r15.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r7, $r16)	r8 = $r15	0
r8 = $r15	r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	1
r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployWar")	1
r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployWar")	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/html; charset=utf-8")	1
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/html; charset=utf-8")	r11 = ""	0
r11 = ""	if r4 == null goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)	1
if r4 == null goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)	$i0 = virtualinvoke r4.<java.lang.String: int length()>()	0
