start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: javax.servlet.http.HttpServletRequest	0
r2 := @parameter1: javax.servlet.http.HttpServletRequest	r3 := @parameter2: javax.servlet.http.HttpServletResponse	0
r3 := @parameter2: javax.servlet.http.HttpServletResponse	r4 := @parameter3: org.apache.tomcat.util.res.StringManager	0
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	$r8 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
$r8 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("path", $r8)	1
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("path", $r8)	$r9 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getVersion()>()	0
$r9 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getVersion()>()	interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("version", $r9)	1
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("version", $r9)	r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("action")	0
r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("action")	$i1 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	1
$i1 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	if $i1 < 1 goto $r17 = "sessionDetail"	1
if $i1 < 1 goto $r17 = "sessionDetail"	$r10 = new java.lang.StringBuilder	0
if $i1 < 1 goto $r17 = "sessionDetail"	$r17 = "sessionDetail"	0
$r10 = new java.lang.StringBuilder	specialinvoke $r10.<java.lang.StringBuilder: void <init>(java.lang.String)>("sessions: Session action \'")	1
specialinvoke $r10.<java.lang.StringBuilder: void <init>(java.lang.String)>("sessions: Session action \'")	$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5)	0
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5)	$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' for web application \'")	1
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' for web application \'")	$r13 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	1
$r13 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	1
$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r16)	1
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r16)	$r17 = "sessionDetail"	0
$r17 = "sessionDetail"	$z1 = virtualinvoke $r17.<java.lang.String: boolean equals(java.lang.Object)>(r5)	1
$z1 = virtualinvoke $r17.<java.lang.String: boolean equals(java.lang.Object)>(r5)	if $z1 == 0 goto $r18 = "invalidateSessions"	1
if $z1 == 0 goto $r18 = "invalidateSessions"	r6 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("sessionId")	0
