start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: javax.servlet.http.HttpServletRequest	0
r2 := @parameter1: javax.servlet.http.HttpServletRequest	r3 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	i0 = -1	0
i0 = -1	r4 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("idle")	1
r4 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("idle")	if r4 == null goto $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	1
if r4 == null goto $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r4)	0
if r4 == null goto $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	$r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	0
if r4 == null goto $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	$r6 := @caughtexception	0
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r4)	goto [?= $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)]	1
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r4)	$r6 := @caughtexception	1
goto [?= $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)]	$r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	0
$r6 := @caughtexception	r5 = $r6	0
r5 = $r6	$r7 = new java.lang.StringBuilder	0
$r7 = new java.lang.StringBuilder	specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>("Could not parse idle parameter to an int: ")	1
specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>("Could not parse idle parameter to an int: ")	$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	0
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r9)	1
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r9)	$r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	0
$r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	return $r10	1
