start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	r4 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.util.List getSessionsForName(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r1, r3)	0
r4 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.util.List getSessionsForName(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r1, r3)	$z0 = interfaceinvoke r4.<java.util.List: boolean isEmpty()>()	1
$z0 = interfaceinvoke r4.<java.util.List: boolean isEmpty()>()	if $z0 == 0 goto r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	1
if $z0 == 0 goto r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	return null	0
if $z0 == 0 goto r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	0
r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	goto [?= $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()]	$z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	0
$r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	r6 = (org.apache.catalina.Session) $r7	1
r6 = (org.apache.catalina.Session) $r7	$r8 = interfaceinvoke r6.<org.apache.catalina.Session: java.lang.String getId()>()	1
$r8 = interfaceinvoke r6.<org.apache.catalina.Session: java.lang.String getId()>()	$z1 = virtualinvoke $r8.<java.lang.String: boolean equals(java.lang.Object)>(r2)	1
$z1 = virtualinvoke $r8.<java.lang.String: boolean equals(java.lang.Object)>(r2)	if $z1 == 0 goto $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	1
if $z1 == 0 goto $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	return r6	0
if $z1 == 0 goto $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	$z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	0
$z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	if $z2 != 0 goto $r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	1
if $z2 != 0 goto $r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	return null	0
if $z2 != 0 goto $r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	$r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	0
