start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	if r1 == null goto r3 = null	0
if r1 == null goto r3 = null	$r9 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if r1 == null goto r3 = null	r3 = null	0
$r9 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	$z0 = virtualinvoke $r9.<java.lang.String: boolean startsWith(java.lang.String)>("/")	1
$z0 = virtualinvoke $r9.<java.lang.String: boolean startsWith(java.lang.String)>("/")	if $z0 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	1
if $z0 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	$r10 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if $z0 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	$r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	0
$r10 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	$z1 = virtualinvoke $r10.<java.lang.String: boolean equals(java.lang.Object)>("")	1
$z1 = virtualinvoke $r10.<java.lang.String: boolean equals(java.lang.Object)>("")	if $z1 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	1
if $z1 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	r3 = null	0
if $z1 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	$r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	0
r3 = null	if r1 == null goto $r11 = new java.lang.IllegalArgumentException	1
if r1 == null goto $r11 = new java.lang.IllegalArgumentException	r3 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if r1 == null goto $r11 = new java.lang.IllegalArgumentException	$r11 = new java.lang.IllegalArgumentException	0
r3 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	$r11 = new java.lang.IllegalArgumentException	0
$r11 = new java.lang.IllegalArgumentException	$r12 = newarray (java.lang.Object)[1]	0
$r12 = newarray (java.lang.Object)[1]	$r13 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r3)	1
$r13 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r3)	$r12[0] = $r13	1
$r12[0] = $r13	$r14 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidPath", $r12)	1
$r14 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidPath", $r12)	specialinvoke $r11.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>($r14)	1
specialinvoke $r11.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>($r14)	throw $r11	0
$r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	$r16 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	1
$r16 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	$r17 = interfaceinvoke $r15.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r16)	1
$r17 = interfaceinvoke $r15.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r16)	r18 = (org.apache.catalina.Context) $r17	1
r18 = (org.apache.catalina.Context) $r17	if r18 != null goto r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	1
if r18 != null goto r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	$r19 = new java.lang.IllegalArgumentException	0
if r18 != null goto r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	0
$r19 = new java.lang.IllegalArgumentException	$r20 = newarray (java.lang.Object)[1]	0
$r20 = newarray (java.lang.Object)[1]	$r21 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	1
$r21 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r22 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r21)	1
$r22 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r21)	$r20[0] = $r22	1
