start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: javax.servlet.http.HttpServletResponse	0
r2 := @parameter1: javax.servlet.http.HttpServletResponse	r3 := @parameter2: java.lang.String	0
r3 := @parameter2: java.lang.String	r4 := @parameter3: org.apache.tomcat.util.res.StringManager	0
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	$i3 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	0
$i3 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	if $i3 < 1 goto r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	1
if $i3 < 1 goto r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	$r22 = new java.lang.StringBuilder	0
if $i3 < 1 goto r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	0
$r22 = new java.lang.StringBuilder	specialinvoke $r22.<java.lang.StringBuilder: void <init>(java.lang.String)>("list: Listing contexts for virtual host \'")	1
specialinvoke $r22.<java.lang.StringBuilder: void <init>(java.lang.String)>("list: Listing contexts for virtual host \'")	$r23 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	0
$r23 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	$r24 = interfaceinvoke $r23.<org.apache.catalina.Host: java.lang.String getName()>()	1
$r24 = interfaceinvoke $r23.<org.apache.catalina.Host: java.lang.String getName()>()	$r25 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r24)	1
$r25 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r24)	$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r27)	1
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r27)	r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	0
r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	$r28 = <org.apache.catalina.manager.Constants: java.lang.String HTML_HEADER_SECTION>	1
$r28 = <org.apache.catalina.manager.Constants: java.lang.String HTML_HEADER_SECTION>	virtualinvoke r5.<java.io.PrintWriter: void print(java.lang.String)>($r28)	1
virtualinvoke r5.<java.io.PrintWriter: void print(java.lang.String)>($r28)	r6 = newarray (java.lang.Object)[2]	0
r6 = newarray (java.lang.Object)[2]	$r29 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getContextPath()>()	1
$r29 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getContextPath()>()	r6[0] = $r29	1
r6[0] = $r29	$r30 = virtualinvoke r4.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.title")	1
$r30 = virtualinvoke r4.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.title")	r6[1] = $r30	1
r6[1] = $r30	$r31 = <org.apache.catalina.manager.Constants: java.lang.String BODY_HEADER_SECTION>	1
$r31 = <org.apache.catalina.manager.Constants: java.lang.String BODY_HEADER_SECTION>	$r32 = staticinvoke <java.text.MessageFormat: java.lang.String format(java.lang.String,java.lang.Object[])>($r31, r6)	1
$r32 = staticinvoke <java.text.MessageFormat: java.lang.String format(java.lang.String,java.lang.Object[])>($r31, r6)	virtualinvoke r5.<java.io.PrintWriter: void print(java.lang.String)>($r32)	1
virtualinvoke r5.<java.io.PrintWriter: void print(java.lang.String)>($r32)	r33 = newarray (java.lang.Object)[3]	0
r33 = newarray (java.lang.Object)[3]	$r34 = virtualinvoke r4.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.messageLabel")	1
$r34 = virtualinvoke r4.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.messageLabel")	r33[0] = $r34	1
r33[0] = $r34	if r3 == null goto r33[1] = "OK"	1
if r3 == null goto r33[1] = "OK"	$i4 = virtualinvoke r3.<java.lang.String: int length()>()	0
if r3 == null goto r33[1] = "OK"	r33[1] = "OK"	0
$i4 = virtualinvoke r3.<java.lang.String: int length()>()	if $i4 != 0 goto $r35 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r3)	1
