start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: java.lang.String	0
r3 := @parameter2: java.lang.String	r4 := @parameter3: org.apache.tomcat.util.res.StringManager	0
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r4)	0
$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r4)	r5 = interfaceinvoke $r7.<org.apache.catalina.Session: javax.servlet.http.HttpSession getSession()>()	1
r5 = interfaceinvoke $r7.<org.apache.catalina.Session: javax.servlet.http.HttpSession getSession()>()	if r5 != null goto $r13 = interfaceinvoke r5.<javax.servlet.http.HttpSession: java.lang.Object getAttribute(java.lang.String)>(r3)	1
if r5 != null goto $r13 = interfaceinvoke r5.<javax.servlet.http.HttpSession: java.lang.Object getAttribute(java.lang.String)>(r3)	$i0 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	0
if r5 != null goto $r13 = interfaceinvoke r5.<javax.servlet.http.HttpSession: java.lang.Object getAttribute(java.lang.String)>(r3)	$r13 = interfaceinvoke r5.<javax.servlet.http.HttpSession: java.lang.Object getAttribute(java.lang.String)>(r3)	0
$i0 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	if $i0 < 1 goto return 0	1
if $i0 < 1 goto return 0	$r8 = new java.lang.StringBuilder	0
if $i0 < 1 goto return 0	return 0	0
$r8 = new java.lang.StringBuilder	specialinvoke $r8.<java.lang.StringBuilder: void <init>(java.lang.String)>("WARNING: can\'t remove attribute \'")	1
specialinvoke $r8.<java.lang.StringBuilder: void <init>(java.lang.String)>("WARNING: can\'t remove attribute \'")	$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	0
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' for null session ")	1
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' for null session ")	$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	1
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r12)	1
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r12)	return 0	0
$r13 = interfaceinvoke r5.<javax.servlet.http.HttpSession: java.lang.Object getAttribute(java.lang.String)>(r3)	if $r13 == null goto $z1 = 0	1
if $r13 == null goto $z1 = 0	$z1 = 1	0
if $r13 == null goto $z1 = 0	$z1 = 0	0
$z1 = 1	goto [?= z0 = $z1]	1
goto [?= z0 = $z1]	z0 = $z1	0
$z1 = 0	z0 = $z1	1
z0 = $z1	interfaceinvoke r5.<javax.servlet.http.HttpSession: void removeAttribute(java.lang.String)>(r3)	1
z0 = $z1	$r14 := @caughtexception	1
interfaceinvoke r5.<javax.servlet.http.HttpSession: void removeAttribute(java.lang.String)>(r3)	goto [?= return z0]	0
interfaceinvoke r5.<javax.servlet.http.HttpSession: void removeAttribute(java.lang.String)>(r3)	$r14 := @caughtexception	0
goto [?= return z0]	return z0	0
$r14 := @caughtexception	r6 = $r14	0
r6 = $r14	$i1 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	1
$i1 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	if $i1 < 1 goto return z0	1
if $i1 < 1 goto return z0	$r15 = new java.lang.StringBuilder	0
if $i1 < 1 goto return z0	return z0	0
$r15 = new java.lang.StringBuilder	specialinvoke $r15.<java.lang.StringBuilder: void <init>(java.lang.String)>("Can\'t remote attribute \'")	1
