start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	r1 := @parameter0: org.apache.catalina.util.ContextName	0
r1 := @parameter0: org.apache.catalina.util.ContextName	r2 := @parameter1: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	$r3 = new java.io.StringWriter	0
$r3 = new java.io.StringWriter	specialinvoke $r3.<java.io.StringWriter: void <init>()>()	1
specialinvoke $r3.<java.io.StringWriter: void <init>()>()	r4 = $r3	0
r4 = $r3	$r6 = new java.io.PrintWriter	0
$r6 = new java.io.PrintWriter	specialinvoke $r6.<java.io.PrintWriter: void <init>(java.io.Writer)>(r4)	1
specialinvoke $r6.<java.io.PrintWriter: void <init>(java.io.Writer)>(r4)	r5 = $r6	0
r5 = $r6	specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void stop(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r5, r1, r2)	1
specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void stop(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r5, r1, r2)	$r7 = virtualinvoke r4.<java.io.StringWriter: java.lang.String toString()>()	0
$r7 = virtualinvoke r4.<java.io.StringWriter: java.lang.String toString()>()	return $r7	1
