start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.lang.String	0
r1 := @parameter0: java.lang.String	$r5 = newarray (java.lang.String)[1]	0
$r5 = newarray (java.lang.String)[1]	$r5[0] = r1	1
$r5[0] = r1	r2 = $r5	1
r2 = $r5	$r6 = newarray (java.lang.String)[1]	0
$r6 = newarray (java.lang.String)[1]	$r6[0] = "java.lang.String"	1
$r6[0] = "java.lang.String"	r3 = $r6	1
r3 = $r6	$r7 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.MBeanServer mBeanServer>	1
$r7 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.MBeanServer mBeanServer>	$r8 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname>	1
$r8 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname>	$r9 = interfaceinvoke $r7.<javax.management.MBeanServer: java.lang.Object invoke(javax.management.ObjectName,java.lang.String,java.lang.Object[],java.lang.String[])>($r8, "isServiced", r2, r3)	1
$r9 = interfaceinvoke $r7.<javax.management.MBeanServer: java.lang.Object invoke(javax.management.ObjectName,java.lang.String,java.lang.Object[],java.lang.String[])>($r8, "isServiced", r2, r3)	r4 = (java.lang.Boolean) $r9	1
r4 = (java.lang.Boolean) $r9	$z0 = virtualinvoke r4.<java.lang.Boolean: boolean booleanValue()>()	1
$z0 = virtualinvoke r4.<java.lang.Boolean: boolean booleanValue()>()	return $z0	1
