start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	$i1 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i1 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i1 < 1 goto $r12 = newarray (java.lang.Object)[1]	1
if $i1 < 1 goto $r12 = newarray (java.lang.Object)[1]	$r6 = new java.lang.StringBuilder	0
if $i1 < 1 goto $r12 = newarray (java.lang.Object)[1]	$r12 = newarray (java.lang.Object)[1]	0
$r6 = new java.lang.StringBuilder	specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("list: Listing contexts for virtual host \'")	1
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("list: Listing contexts for virtual host \'")	$r7 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	0
$r7 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r8 = interfaceinvoke $r7.<org.apache.catalina.Host: java.lang.String getName()>()	1
$r8 = interfaceinvoke $r7.<org.apache.catalina.Host: java.lang.String getName()>()	$r9 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r8)	1
$r9 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r8)	$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r11)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r11)	$r12 = newarray (java.lang.Object)[1]	0
$r12 = newarray (java.lang.Object)[1]	$r13 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	1
$r13 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r14 = interfaceinvoke $r13.<org.apache.catalina.Host: java.lang.String getName()>()	1
$r14 = interfaceinvoke $r13.<org.apache.catalina.Host: java.lang.String getName()>()	$r12[0] = $r14	1
$r12[0] = $r14	$r15 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.listed", $r12)	1
$r15 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.listed", $r12)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	0
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	r3 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container[] findChildren()>()	1
r3 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container[] findChildren()>()	i0 = 0	1
i0 = 0	goto [?= $i3 = lengthof r3]	1
goto [?= $i3 = lengthof r3]	$i3 = lengthof r3	0
$r17 = r3[i0]	r4 = (org.apache.catalina.Context) $r17	1
r4 = (org.apache.catalina.Context) $r17	if r4 == null goto i0 = i0 + 1	1
if r4 == null goto i0 = i0 + 1	r5 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getPath()>()	0
if r4 == null goto i0 = i0 + 1	i0 = i0 + 1	0
r5 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getPath()>()	$z0 = virtualinvoke r5.<java.lang.String: boolean equals(java.lang.Object)>("")	1
$z0 = virtualinvoke r5.<java.lang.String: boolean equals(java.lang.Object)>("")	if $z0 == 0 goto $r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	1
if $z0 == 0 goto $r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	r5 = "/"	0
if $z0 == 0 goto $r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	$r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	0
r5 = "/"	$r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	1
$r18 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	$z1 = virtualinvoke $r18.<org.apache.catalina.LifecycleState: boolean isAvailable()>()	1
$z1 = virtualinvoke $r18.<org.apache.catalina.LifecycleState: boolean isAvailable()>()	if $z1 == 0 goto $r27 = newarray (java.lang.Object)[4]	1
if $z1 == 0 goto $r27 = newarray (java.lang.Object)[4]	$r19 = newarray (java.lang.Object)[4]	0
if $z1 == 0 goto $r27 = newarray (java.lang.Object)[4]	$r27 = newarray (java.lang.Object)[4]	0
$r19 = newarray (java.lang.Object)[4]	$r19[0] = r5	1
$r19[0] = r5	$r19[1] = "running"	1
$r19[1] = "running"	$r20 = new java.lang.StringBuilder	0
$r20 = new java.lang.StringBuilder	specialinvoke $r20.<java.lang.StringBuilder: void <init>()>()	1
specialinvoke $r20.<java.lang.StringBuilder: void <init>()>()	$r21 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	0
$r21 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	$r22 = interfaceinvoke $r21.<org.apache.catalina.Manager: org.apache.catalina.Session[] findSessions()>()	1
$r22 = interfaceinvoke $r21.<org.apache.catalina.Manager: org.apache.catalina.Session[] findSessions()>()	$i2 = lengthof $r22	1
$i2 = lengthof $r22	$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i2)	1
$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i2)	$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.String toString()>()	$r19[2] = $r24	1
$r19[2] = $r24	$r25 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getDocBase()>()	1
$r25 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getDocBase()>()	$r19[3] = $r25	1
$r19[3] = $r25	$r26 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.listitem", $r19)	1
$r26 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.listitem", $r19)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r26)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r26)	goto [?= i0 = i0 + 1]	0
goto [?= i0 = i0 + 1]	i0 = i0 + 1	0
$r27 = newarray (java.lang.Object)[4]	$r27[0] = r5	1
$r27[0] = r5	$r27[1] = "stopped"	1
$r27[1] = "stopped"	$r27[2] = "0"	1
$r27[2] = "0"	$r28 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getDocBase()>()	1
