start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: javax.naming.Context	0
r3 := @parameter2: javax.naming.Context	r4 := @parameter3: java.lang.String	0
r4 := @parameter3: java.lang.String	r5 := @parameter4: java.lang.Class	0
r5 := @parameter4: java.lang.Class	r6 := @parameter5: org.apache.tomcat.util.res.StringManager	0
r6 := @parameter5: org.apache.tomcat.util.res.StringManager	r7 = interfaceinvoke r3.<javax.naming.Context: javax.naming.NamingEnumeration listBindings(java.lang.String)>("")	0
r6 := @parameter5: org.apache.tomcat.util.res.StringManager	$r26 := @caughtexception	0
r7 = interfaceinvoke r3.<javax.naming.Context: javax.naming.NamingEnumeration listBindings(java.lang.String)>("")	goto [?= $z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()]	1
r7 = interfaceinvoke r3.<javax.naming.Context: javax.naming.NamingEnumeration listBindings(java.lang.String)>("")	$r26 := @caughtexception	1
goto [?= $z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()]	$z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()	0
goto [?= $z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()]	$r26 := @caughtexception	0
$r10 = interfaceinvoke r7.<javax.naming.NamingEnumeration: java.lang.Object next()>()	r8 = (javax.naming.Binding) $r10	1
$r10 = interfaceinvoke r7.<javax.naming.NamingEnumeration: java.lang.Object next()>()	$r26 := @caughtexception	1
r8 = (javax.naming.Binding) $r10	$r11 = virtualinvoke r8.<javax.naming.Binding: java.lang.Object getObject()>()	1
r8 = (javax.naming.Binding) $r10	$r26 := @caughtexception	1
$r11 = virtualinvoke r8.<javax.naming.Binding: java.lang.Object getObject()>()	$z0 = $r11 instanceof javax.naming.Context	1
$r11 = virtualinvoke r8.<javax.naming.Binding: java.lang.Object getObject()>()	$r26 := @caughtexception	1
$z0 = $r11 instanceof javax.naming.Context	if $z0 == 0 goto (branch)	1
$z0 = $r11 instanceof javax.naming.Context	$r26 := @caughtexception	1
if $z0 == 0 goto (branch)	$r9 = new java.lang.StringBuilder	0
if $z0 == 0 goto (branch)	if r5 == null goto $r20 = new java.lang.StringBuilder	0
if $z0 == 0 goto (branch)	$r26 := @caughtexception	0
$r9 = new java.lang.StringBuilder	$r12 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r2)	1
$r9 = new java.lang.StringBuilder	$r26 := @caughtexception	1
$r12 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r2)	specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>($r12)	1
$r12 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r2)	$r26 := @caughtexception	1
specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>($r12)	$r13 = virtualinvoke r8.<javax.naming.Binding: java.lang.String getName()>()	0
