start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: org.apache.catalina.util.ContextName	0
r2 := @parameter1: org.apache.catalina.util.ContextName	r3 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	1
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	$r5 = new java.lang.StringBuilder	0
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	0
$r5 = new java.lang.StringBuilder	specialinvoke $r5.<java.lang.StringBuilder: void <init>(java.lang.String)>("restart: Reloading web application \'")	1
specialinvoke $r5.<java.lang.StringBuilder: void <init>(java.lang.String)>("restart: Reloading web application \'")	$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	0
$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r8)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r8)	$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	0
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	if $z0 != 0 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	1
if $z0 != 0 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	return	0
if $z0 != 0 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	0
if $z0 != 0 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r23 := @caughtexception	0
$r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r10 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	1
$r9 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r23 := @caughtexception	1
$r10 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	$r11 = interfaceinvoke $r9.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r10)	1
$r10 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	$r23 := @caughtexception	1
$r11 = interfaceinvoke $r9.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r10)	r4 = (org.apache.catalina.Context) $r11	1
$r11 = interfaceinvoke $r9.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r10)	$r23 := @caughtexception	1
r4 = (org.apache.catalina.Context) $r11	if r4 != null goto $r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	1
r4 = (org.apache.catalina.Context) $r11	$r23 := @caughtexception	1
if r4 != null goto $r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	$r12 = newarray (java.lang.Object)[1]	0
if r4 != null goto $r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	$r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	0
if r4 != null goto $r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	$r23 := @caughtexception	0
$r12 = newarray (java.lang.Object)[1]	$r13 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	1
$r12 = newarray (java.lang.Object)[1]	$r23 := @caughtexception	1
$r13 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r13)	1
$r13 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r23 := @caughtexception	1
$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r13)	$r12[0] = $r14	1
$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r13)	$r23 := @caughtexception	1
$r12[0] = $r14	$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r12)	1
$r12[0] = $r14	$r23 := @caughtexception	1
