start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i0 < 1 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	1
if $i0 < 1 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	if r2 == null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("resources:  Listing resources of all types")	0
if $i0 < 1 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	$r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	0
if r2 == null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("resources:  Listing resources of all types")	$r6 = new java.lang.StringBuilder	0
if r2 == null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("resources:  Listing resources of all types")	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("resources:  Listing resources of all types")	0
$r6 = new java.lang.StringBuilder	specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("resources:  Listing resources of type ")	1
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("resources:  Listing resources of type ")	$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	0
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r8)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r8)	goto [?= $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>]	0
goto [?= $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>]	$r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	0
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("resources:  Listing resources of all types")	$r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	0
$r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	if $r9 != null goto (branch)	1
if $r9 != null goto (branch)	$r10 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noGlobal")	0
if $r9 != null goto (branch)	if r2 == null goto $r13 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.resourcesAll")	0
