start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i0 < 1 goto $r4 = new java.lang.StringBuilder	1
if $i0 < 1 goto $r4 = new java.lang.StringBuilder	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("serverinfo")	0
if $i0 < 1 goto $r4 = new java.lang.StringBuilder	$r4 = new java.lang.StringBuilder	0
if $i0 < 1 goto $r4 = new java.lang.StringBuilder	$r25 := @caughtexception	0
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("serverinfo")	$r4 = new java.lang.StringBuilder	0
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("serverinfo")	$r25 := @caughtexception	0
$r4 = new java.lang.StringBuilder	specialinvoke $r4.<java.lang.StringBuilder: void <init>()>()	1
$r4 = new java.lang.StringBuilder	$r25 := @caughtexception	1
specialinvoke $r4.<java.lang.StringBuilder: void <init>()>()	r3 = $r4	0
specialinvoke $r4.<java.lang.StringBuilder: void <init>()>()	$r25 := @caughtexception	0
r3 = $r4	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("OK - Server info")	1
r3 = $r4	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("OK - Server info")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nTomcat Version: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("OK - Server info")	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nTomcat Version: ")	$r7 = staticinvoke <org.apache.catalina.util.ServerInfo: java.lang.String getServerInfo()>()	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nTomcat Version: ")	$r25 := @caughtexception	0
$r7 = staticinvoke <org.apache.catalina.util.ServerInfo: java.lang.String getServerInfo()>()	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r7)	1
$r7 = staticinvoke <org.apache.catalina.util.ServerInfo: java.lang.String getServerInfo()>()	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r7)	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Name: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r7)	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Name: ")	$r10 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.name")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Name: ")	$r25 := @caughtexception	0
$r10 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.name")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	1
$r10 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.name")	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Version: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Version: ")	$r13 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Version: ")	$r25 := @caughtexception	0
$r13 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	1
$r13 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Architecture: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Architecture: ")	$r16 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Architecture: ")	$r25 := @caughtexception	0
$r16 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r16)	1
$r16 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r16)	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Version: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r16)	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Version: ")	$r19 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.runtime.version")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Version: ")	$r25 := @caughtexception	0
$r19 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.runtime.version")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r19)	1
$r19 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.runtime.version")	$r25 := @caughtexception	1
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r19)	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Vendor: ")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r19)	$r25 := @caughtexception	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Vendor: ")	$r22 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	0
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Vendor: ")	$r25 := @caughtexception	0
$r22 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r22)	1
$r22 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	$r25 := @caughtexception	1
