start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: org.apache.catalina.Wrapper	0
r1 := @parameter0: org.apache.catalina.Wrapper	r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Wrapper wrapper> = r1	0
r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Wrapper wrapper> = r1	if r1 != null goto $r5 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	1
if r1 != null goto $r5 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context> = null	0
if r1 != null goto $r5 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	$r5 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	0
r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context> = null	r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host> = null	1
r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host> = null	r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname> = null	1
r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname> = null	goto [?= $r24 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)]	1
goto [?= $r24 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)]	$r24 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)	0
$r5 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	$r6 = (org.apache.catalina.Context) $r5	1
$r6 = (org.apache.catalina.Context) $r5	r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context> = $r6	1
r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context> = $r6	$r7 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	1
$r7 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	$r8 = interfaceinvoke $r7.<org.apache.catalina.Context: org.apache.catalina.Container getParent()>()	1
$r8 = interfaceinvoke $r7.<org.apache.catalina.Context: org.apache.catalina.Container getParent()>()	$r9 = (org.apache.catalina.Host) $r8	1
$r9 = (org.apache.catalina.Host) $r8	r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host> = $r9	1
r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host> = $r9	$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	1
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r11 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container getParent()>()	1
$r11 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container getParent()>()	r2 = (org.apache.catalina.Engine) $r11	1
r2 = (org.apache.catalina.Engine) $r11	$r12 = new java.lang.StringBuilder	0
$r12 = new java.lang.StringBuilder	$r13 = interfaceinvoke r2.<org.apache.catalina.Engine: java.lang.String getName()>()	1
