start	end	CRUD_Test
r0 := @parameter0: org.apache.catalina.util.ContextName	r1 := @parameter1: java.io.PrintWriter	0
r1 := @parameter1: java.io.PrintWriter	r2 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter2: org.apache.tomcat.util.res.StringManager	if r0 == null goto r3 = null	0
if r0 == null goto r3 = null	$r4 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if r0 == null goto r3 = null	r3 = null	0
$r4 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	$z0 = virtualinvoke $r4.<java.lang.String: boolean startsWith(java.lang.String)>("/")	1
$z0 = virtualinvoke $r4.<java.lang.String: boolean startsWith(java.lang.String)>("/")	if $z0 != 0 goto return 1	1
if $z0 != 0 goto return 1	$r5 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if $z0 != 0 goto return 1	return 1	0
$r5 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	$z1 = virtualinvoke $r5.<java.lang.String: boolean equals(java.lang.Object)>("")	1
$z1 = virtualinvoke $r5.<java.lang.String: boolean equals(java.lang.Object)>("")	if $z1 == 0 goto r3 = null	1
if $z1 == 0 goto r3 = null	return 1	0
if $z1 == 0 goto r3 = null	r3 = null	0
r3 = null	if r0 == null goto $r7 = newarray (java.lang.Object)[1]	1
if r0 == null goto $r7 = newarray (java.lang.Object)[1]	$r6 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	0
if r0 == null goto $r7 = newarray (java.lang.Object)[1]	$r7 = newarray (java.lang.Object)[1]	0
$r6 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	r3 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r6)	1
r3 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r6)	$r7 = newarray (java.lang.Object)[1]	0
$r7 = newarray (java.lang.Object)[1]	$r7[0] = r3	1
$r7[0] = r3	$r8 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidPath", $r7)	1
$r8 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidPath", $r7)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r8)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r8)	return 0	0
