start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	r1 = "JMImplementation:type=MBeanServerDelegate"	0
r1 = "JMImplementation:type=MBeanServerDelegate"	$r4 = new javax.management.ObjectName	0
r1 = "JMImplementation:type=MBeanServerDelegate"	$r6 := @caughtexception	1
$r4 = new javax.management.ObjectName	specialinvoke $r4.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	1
$r4 = new javax.management.ObjectName	$r6 := @caughtexception	1
specialinvoke $r4.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	r2 = $r4	0
specialinvoke $r4.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	$r6 := @caughtexception	0
r2 = $r4	$r5 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	1
r2 = $r4	$r6 := @caughtexception	1
$r5 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	interfaceinvoke $r5.<javax.management.MBeanServer: void removeNotificationListener(javax.management.ObjectName,javax.management.NotificationListener,javax.management.NotificationFilter,java.lang.Object)>(r2, r0, null, null)	1
$r5 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	$r6 := @caughtexception	1
interfaceinvoke $r5.<javax.management.MBeanServer: void removeNotificationListener(javax.management.ObjectName,javax.management.NotificationListener,javax.management.NotificationFilter,java.lang.Object)>(r2, r0, null, null)	goto [?= return]	0
interfaceinvoke $r5.<javax.management.MBeanServer: void removeNotificationListener(javax.management.ObjectName,javax.management.NotificationListener,javax.management.NotificationFilter,java.lang.Object)>(r2, r0, null, null)	$r6 := @caughtexception	0
goto [?= return]	return	0
$r6 := @caughtexception	r3 = $r6	0
r3 = $r6	virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	1
virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	return	0
