start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: javax.servlet.http.HttpServletResponse	0
r2 := @parameter1: javax.servlet.http.HttpServletResponse	b0 = 0	0
b0 = 0	$r8 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("XML")	1
$r8 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("XML")	if $r8 == null goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	1
if $r8 == null goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	$r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("XML")	0
if $r8 == null goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	0
$r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("XML")	$z1 = virtualinvoke $r9.<java.lang.String: boolean equals(java.lang.Object)>("true")	1
$z1 = virtualinvoke $r9.<java.lang.String: boolean equals(java.lang.Object)>("true")	if $z1 == 0 goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	1
if $z1 == 0 goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	b0 = 1	0
if $z1 == 0 goto staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	0
b0 = 1	staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	1
staticinvoke <org.apache.catalina.manager.StatusTransformer: void setContentType(javax.servlet.http.HttpServletResponse,int)>(r2, b0)	r3 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	0
r3 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	z0 = 0	1
z0 = 0	$r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	1
$r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	if $r10 == null goto r4 = newarray (java.lang.Object)[1]	1
if $r10 == null goto r4 = newarray (java.lang.Object)[1]	$r11 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	0
if $r10 == null goto r4 = newarray (java.lang.Object)[1]	r4 = newarray (java.lang.Object)[1]	0
$r11 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	$z2 = virtualinvoke $r11.<java.lang.String: boolean equals(java.lang.Object)>("/all")	1
$z2 = virtualinvoke $r11.<java.lang.String: boolean equals(java.lang.Object)>("/all")	if $z2 == 0 goto r4 = newarray (java.lang.Object)[1]	1
if $z2 == 0 goto r4 = newarray (java.lang.Object)[1]	z0 = 1	0
if $z2 == 0 goto r4 = newarray (java.lang.Object)[1]	r4 = newarray (java.lang.Object)[1]	0
z0 = 1	r4 = newarray (java.lang.Object)[1]	0
r4 = newarray (java.lang.Object)[1]	$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getContextPath()>()	1
$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getContextPath()>()	r4[0] = $r12	1
r4[0] = $r12	staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeHeader(java.io.PrintWriter,java.lang.Object[],int)>(r3, r4, b0)	1
