start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	r1 := @parameter0: javax.management.Notification	0
r1 := @parameter0: javax.management.Notification	r2 := @parameter1: java.lang.Object	0
r2 := @parameter1: java.lang.Object	$z0 = r1 instanceof javax.management.MBeanServerNotification	0
$z0 = r1 instanceof javax.management.MBeanServerNotification	if $z0 == 0 goto return	1
if $z0 == 0 goto return	$r6 = (javax.management.MBeanServerNotification) r1	0
if $z0 == 0 goto return	return	0
$r6 = (javax.management.MBeanServerNotification) r1	r3 = virtualinvoke $r6.<javax.management.MBeanServerNotification: javax.management.ObjectName getMBeanName()>()	1
r3 = virtualinvoke $r6.<javax.management.MBeanServerNotification: javax.management.ObjectName getMBeanName()>()	$r7 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	1
$r7 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	$z1 = virtualinvoke $r7.<java.lang.String: boolean equals(java.lang.Object)>("JMX.mbean.registered")	1
$z1 = virtualinvoke $r7.<java.lang.String: boolean equals(java.lang.Object)>("JMX.mbean.registered")	if $z1 == 0 goto $r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	1
if $z1 == 0 goto $r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	r4 = virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("type")	0
if $z1 == 0 goto $r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	$r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	0
r4 = virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("type")	if r4 == null goto return	1
if r4 == null goto return	$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ProtocolHandler")	0
if r4 == null goto return	return	0
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ProtocolHandler")	if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	1
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	$r8 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	0
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	0
$r8 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	virtualinvoke $r8.<java.util.Vector: void addElement(java.lang.Object)>(r3)	1
virtualinvoke $r8.<java.util.Vector: void addElement(java.lang.Object)>(r3)	goto [?= return]	0
goto [?= return]	return	0
