start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	$r6 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)	0
$r6 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)	$r7 = virtualinvoke $r6.<org.apache.tomcat.util.modeler.Registry: javax.management.MBeanServer getMBeanServer()>()	1
$r7 = virtualinvoke $r6.<org.apache.tomcat.util.modeler.Registry: javax.management.MBeanServer getMBeanServer()>()	r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer> = $r7	1
r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer> = $r7	r1 = "*:type=ProtocolHandler,*"	1
r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer> = $r7	$r47 := @caughtexception	1
r1 = "*:type=ProtocolHandler,*"	$r8 = new javax.management.ObjectName	0
r1 = "*:type=ProtocolHandler,*"	$r47 := @caughtexception	1
$r8 = new javax.management.ObjectName	specialinvoke $r8.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	1
$r8 = new javax.management.ObjectName	$r47 := @caughtexception	1
specialinvoke $r8.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	r2 = $r8	0
specialinvoke $r8.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	$r47 := @caughtexception	0
r2 = $r8	$r9 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	1
r2 = $r8	$r47 := @caughtexception	1
$r9 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	r3 = interfaceinvoke $r9.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	1
$r9 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	$r47 := @caughtexception	1
r3 = interfaceinvoke $r9.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	1
r3 = interfaceinvoke $r9.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	$r47 := @caughtexception	1
r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	1
r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	$r47 := @caughtexception	1
goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	$r47 := @caughtexception	0
$r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	r5 = (javax.management.ObjectInstance) $r10	1
$r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	$r47 := @caughtexception	1
r5 = (javax.management.ObjectInstance) $r10	$r11 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	1
r5 = (javax.management.ObjectInstance) $r10	$r47 := @caughtexception	1
$r11 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	$r12 = virtualinvoke r5.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	1
$r11 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	$r47 := @caughtexception	1
$r12 = virtualinvoke r5.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	virtualinvoke $r11.<java.util.Vector: void addElement(java.lang.Object)>($r12)	1
$r12 = virtualinvoke r5.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	$r47 := @caughtexception	1
virtualinvoke $r11.<java.util.Vector: void addElement(java.lang.Object)>($r12)	$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
virtualinvoke $r11.<java.util.Vector: void addElement(java.lang.Object)>($r12)	$r47 := @caughtexception	0
$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	if $z0 != 0 goto $r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	1
$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	$r47 := @caughtexception	1
if $z0 != 0 goto $r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	r13 = "*:type=ThreadPool,*"	0
if $z0 != 0 goto $r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	$r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	0
if $z0 != 0 goto $r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	$r47 := @caughtexception	0
r13 = "*:type=ThreadPool,*"	$r14 = new javax.management.ObjectName	0
r13 = "*:type=ThreadPool,*"	$r47 := @caughtexception	1
$r14 = new javax.management.ObjectName	specialinvoke $r14.<javax.management.ObjectName: void <init>(java.lang.String)>(r13)	1
$r14 = new javax.management.ObjectName	$r47 := @caughtexception	1
specialinvoke $r14.<javax.management.ObjectName: void <init>(java.lang.String)>(r13)	r15 = $r14	0
specialinvoke $r14.<javax.management.ObjectName: void <init>(java.lang.String)>(r13)	$r47 := @caughtexception	0
