start	end	CRUD_Test
r0 := @parameter0: java.lang.Object	z0 := @parameter1: boolean	0
z0 := @parameter1: boolean	l0 = -1L	0
l0 = -1L	$z1 = r0 instanceof java.lang.Long	1
$z1 = r0 instanceof java.lang.Long	if $z1 == 0 goto $z2 = r0 instanceof java.lang.Integer	1
if $z1 == 0 goto $z2 = r0 instanceof java.lang.Integer	$r1 = (java.lang.Long) r0	0
if $z1 == 0 goto $z2 = r0 instanceof java.lang.Integer	$z2 = r0 instanceof java.lang.Integer	0
$r1 = (java.lang.Long) r0	l0 = virtualinvoke $r1.<java.lang.Long: long longValue()>()	1
l0 = virtualinvoke $r1.<java.lang.Long: long longValue()>()	goto [?= (branch)]	1
goto [?= (branch)]	if z0 == 0 goto $r7 = new java.lang.StringBuilder	0
$z2 = r0 instanceof java.lang.Integer	if $z2 == 0 goto (branch)	1
if $z2 == 0 goto (branch)	$r2 = (java.lang.Integer) r0	0
if $z2 == 0 goto (branch)	if z0 == 0 goto $r7 = new java.lang.StringBuilder	0
$r2 = (java.lang.Integer) r0	$i1 = virtualinvoke $r2.<java.lang.Integer: int intValue()>()	1
$i1 = virtualinvoke $r2.<java.lang.Integer: int intValue()>()	l0 = (long) $i1	1
l0 = (long) $i1	if z0 == 0 goto $r7 = new java.lang.StringBuilder	1
if z0 == 0 goto $r7 = new java.lang.StringBuilder	$r3 = new java.lang.StringBuilder	0
if z0 == 0 goto $r7 = new java.lang.StringBuilder	$r7 = new java.lang.StringBuilder	0
$r3 = new java.lang.StringBuilder	$f0 = (float) l0	1
$f0 = (float) l0	$f1 = $f0 / 1000.0F	1
$f1 = $f0 / 1000.0F	$r4 = staticinvoke <java.lang.String: java.lang.String valueOf(float)>($f1)	1
$r4 = staticinvoke <java.lang.String: java.lang.String valueOf(float)>($f1)	specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r4)	1
specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r4)	$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" s")	0
$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" s")	$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()	return $r6	1
$r7 = new java.lang.StringBuilder	$r8 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)	1
$r8 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)	specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>($r8)	1
specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>($r8)	$r9 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ms")	0
$r9 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ms")	$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>()	return $r10	1
