start	end	CRUD_Test
r0 := @parameter0: java.io.PrintWriter	r1 := @parameter1: javax.management.ObjectName	0
r1 := @parameter1: javax.management.ObjectName	r2 := @parameter2: javax.management.MBeanServer	0
r2 := @parameter2: javax.management.MBeanServer	i0 := @parameter3: int	0
i0 := @parameter3: int	if i0 != 0 goto return	0
if i0 != 0 goto return	r3 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	0
if i0 != 0 goto return	return	0
r3 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	r4 = r3	1
r4 = r3	if r4 != null goto n0 = null	1
if r4 != null goto n0 = null	return	0
if r4 != null goto n0 = null	n0 = null	0
n0 = null	n1 = null	1
n1 = null	$z0 = virtualinvoke r4.<java.lang.String: boolean startsWith(java.lang.String)>("//")	1
$z0 = virtualinvoke r4.<java.lang.String: boolean startsWith(java.lang.String)>("//")	if $z0 == 0 goto i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	1
if $z0 == 0 goto i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	r4 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>(2)	0
if $z0 == 0 goto i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	0
r4 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>(2)	i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	1
i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	if i1 == -1 goto return	1
if i1 == -1 goto return	r17 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int,int)>(0, i1)	0
if i1 == -1 goto return	return	0
r17 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int,int)>(0, i1)	r18 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>(i1)	1
r18 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>(i1)	goto [?= $r19 = new javax.management.ObjectName]	1
goto [?= $r19 = new javax.management.ObjectName]	$r19 = new javax.management.ObjectName	0
$r19 = new javax.management.ObjectName	$r20 = new java.lang.StringBuilder	0
$r20 = new java.lang.StringBuilder	$r21 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	1
$r21 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	$r22 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r21)	1
$r22 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r21)	specialinvoke $r20.<java.lang.StringBuilder: void <init>(java.lang.String)>($r22)	1
specialinvoke $r20.<java.lang.StringBuilder: void <init>(java.lang.String)>($r22)	$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":type=Manager,context=")	0
$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":type=Manager,context=")	$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r18)	1
$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r18)	$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",host=")	1
$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",host=")	$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r17)	1
$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r17)	$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	1
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.String toString()>()	specialinvoke $r19.<javax.management.ObjectName: void <init>(java.lang.String)>($r28)	1
specialinvoke $r19.<javax.management.ObjectName: void <init>(java.lang.String)>($r28)	r5 = $r19	0
r5 = $r19	r6 = interfaceinvoke r2.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r5, null)	1
r6 = interfaceinvoke r2.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r5, null)	r7 = null	1
r7 = null	r8 = interfaceinvoke r6.<java.util.Set: java.util.Iterator iterator()>()	1
r8 = interfaceinvoke r6.<java.util.Set: java.util.Iterator iterator()>()	goto [?= $z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()]	$z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()	0
$r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	r7 = (javax.management.ObjectName) $r29	1
r7 = (javax.management.ObjectName) $r29	$z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()	1
$z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()	if $z1 != 0 goto $r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	1
if $z1 != 0 goto $r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	$r30 = new javax.management.ObjectName	0
if $z1 != 0 goto $r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	$r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	0
$r30 = new javax.management.ObjectName	$r31 = new java.lang.StringBuilder	0
$r31 = new java.lang.StringBuilder	$r32 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	1
$r32 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	$r33 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r32)	1
$r33 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r32)	specialinvoke $r31.<java.lang.StringBuilder: void <init>(java.lang.String)>($r33)	1
specialinvoke $r31.<java.lang.StringBuilder: void <init>(java.lang.String)>($r33)	$r34 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":type=JspMonitor,WebModule=")	0
$r34 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":type=JspMonitor,WebModule=")	$r35 = virtualinvoke $r34.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	1
$r35 = virtualinvoke $r34.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	$r36 = virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	1
$r36 = virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	$r37 = virtualinvoke $r36.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r37 = virtualinvoke $r36.<java.lang.StringBuilder: java.lang.String toString()>()	specialinvoke $r30.<javax.management.ObjectName: void <init>(java.lang.String)>($r37)	1
specialinvoke $r30.<javax.management.ObjectName: void <init>(java.lang.String)>($r37)	r9 = $r30	0
r9 = $r30	r10 = interfaceinvoke r2.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r9, null)	1
