start	end	CRUD_Test
r0 := @parameter0: java.io.PrintWriter	r1 := @parameter1: javax.management.MBeanServer	0
r1 := @parameter1: javax.management.MBeanServer	i0 := @parameter2: int	0
i0 := @parameter2: int	if i0 != 0 goto return	0
if i0 != 0 goto return	$r7 = new javax.management.ObjectName	0
if i0 != 0 goto return	return	0
$r7 = new javax.management.ObjectName	specialinvoke $r7.<javax.management.ObjectName: void <init>(java.lang.String)>("*:j2eeType=WebModule,*")	1
specialinvoke $r7.<javax.management.ObjectName: void <init>(java.lang.String)>("*:j2eeType=WebModule,*")	r2 = $r7	0
r2 = $r7	r3 = interfaceinvoke r1.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	1
r3 = interfaceinvoke r1.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<h1>")	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<h1>")	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("Application list")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("Application list")	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</h1>")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</h1>")	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<p>")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<p>")	i1 = 0	0
i1 = 0	r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	1
r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	goto [?= $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	$z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
$r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	r5 = (javax.management.ObjectName) $r8	1
r5 = (javax.management.ObjectName) $r8	r6 = virtualinvoke r5.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	1
r6 = virtualinvoke r5.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	$z0 = virtualinvoke r6.<java.lang.String: boolean startsWith(java.lang.String)>("//")	1
$z0 = virtualinvoke r6.<java.lang.String: boolean startsWith(java.lang.String)>("//")	if $z0 == 0 goto i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	1
if $z0 == 0 goto i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	r6 = virtualinvoke r6.<java.lang.String: java.lang.String substring(int)>(2)	0
if $z0 == 0 goto i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	0
r6 = virtualinvoke r6.<java.lang.String: java.lang.String substring(int)>(2)	i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	1
i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	if i2 != -1 goto $r9 = new java.lang.StringBuilder	1
if i2 != -1 goto $r9 = new java.lang.StringBuilder	i1 = i1 + 1	0
if i2 != -1 goto $r9 = new java.lang.StringBuilder	$r9 = new java.lang.StringBuilder	0
i1 = i1 + 1	goto [?= $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	$z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
$r9 = new java.lang.StringBuilder	specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>("<a href=\"#")	1
