start	end	CRUD_Test
r0 := @parameter0: java.io.PrintWriter	r1 := @parameter1: javax.management.ObjectName	0
r1 := @parameter1: javax.management.ObjectName	r2 := @parameter2: javax.management.MBeanServer	0
r2 := @parameter2: javax.management.MBeanServer	i0 := @parameter3: int	0
i0 := @parameter3: int	$r5 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "stage")	0
$r5 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "stage")	r3 = (java.lang.Integer) $r5	1
r3 = (java.lang.Integer) $r5	i1 = virtualinvoke r3.<java.lang.Integer: int intValue()>()	1
i1 = virtualinvoke r3.<java.lang.Integer: int intValue()>()	z0 = 1	1
z0 = 1	z1 = 1	1
z1 = 1	n0 = null	1
n0 = null	tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	1
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "R"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "P"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "P"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "S"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "F"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "F"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "K"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "R"	0
tableswitch(i1) {     case 0: goto r6 = "R";     case 1: goto r6 = "P";     case 2: goto r6 = "P";     case 3: goto r6 = "S";     case 4: goto r6 = "F";     case 5: goto r6 = "F";     case 6: goto r6 = "K";     case 7: goto r6 = "R";     default: goto r6 = "?"; }	r6 = "?"	0
r6 = "P"	z0 = 0	1
z0 = 0	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "P"	z0 = 0	1
z0 = 0	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "S"	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "F"	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "F"	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "R"	z0 = 0	1
z0 = 0	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "K"	z0 = 1	1
z0 = 1	z1 = 0	1
z1 = 0	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "R"	z0 = 0	1
z0 = 0	goto [?= (branch)]	1
goto [?= (branch)]	if i0 != 0 goto (branch)	0
r6 = "?"	z0 = 0	1
z0 = 0	if i0 != 0 goto (branch)	1
if i0 != 0 goto (branch)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td><strong>")	0
if i0 != 0 goto (branch)	if i0 != 1 goto return	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td><strong>")	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>(r6)	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>(r6)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</strong></td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</strong></td>")	if z0 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>?</td><td>?</td><td>?</td><td>?</td><td>?</td><td>?</td>")	0
if z0 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>?</td><td>?</td><td>?</td><td>?</td><td>?</td><td>?</td>")	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>")	0
if z0 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>?</td><td>?</td><td>?</td><td>?</td><td>?</td><td>?</td>")	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>?</td><td>?</td><td>?</td><td>?</td><td>?</td><td>?</td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>")	$r7 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "requestProcessingTime")	0
$r7 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "requestProcessingTime")	$r8 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r7, 0)	1
$r8 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r7, 0)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r8)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r8)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td>")	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<td>")	if z1 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("?")	0
if z1 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("?")	$r9 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "requestBytesSent")	0
