start	end	CRUD_Test
r0 := @parameter0: java.io.PrintWriter	i0 := @parameter1: int	0
i0 := @parameter1: int	r1 := @parameter2: java.lang.Object[]	0
r1 := @parameter2: java.lang.Object[]	$r2 = new java.util.TreeMap	0
$r2 = new java.util.TreeMap	specialinvoke $r2.<java.util.TreeMap: void <init>()>()	1
specialinvoke $r2.<java.util.TreeMap: void <init>()>()	r3 = $r2	0
r3 = $r2	$r7 = staticinvoke <java.lang.management.ManagementFactory: java.util.List getMemoryPoolMXBeans()>()	1
$r7 = staticinvoke <java.lang.management.ManagementFactory: java.util.List getMemoryPoolMXBeans()>()	r4 = interfaceinvoke $r7.<java.util.List: java.util.Iterator iterator()>()	1
r4 = interfaceinvoke $r7.<java.util.List: java.util.Iterator iterator()>()	goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
$r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	r5 = (java.lang.management.MemoryPoolMXBean) $r8	1
r5 = (java.lang.management.MemoryPoolMXBean) $r8	$r9 = new java.lang.StringBuilder	0
$r9 = new java.lang.StringBuilder	specialinvoke $r9.<java.lang.StringBuilder: void <init>()>()	1
specialinvoke $r9.<java.lang.StringBuilder: void <init>()>()	$r10 = interfaceinvoke r5.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryType getType()>()	0
$r10 = interfaceinvoke r5.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryType getType()>()	$r11 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r10)	1
$r11 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r10)	$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":")	1
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":")	$r13 = interfaceinvoke r5.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	1
$r13 = interfaceinvoke r5.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	1
$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	r6 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	1
r6 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	interfaceinvoke r3.<java.util.SortedMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(r6, r5)	1
interfaceinvoke r3.<java.util.SortedMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(r6, r5)	$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	0
$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	if $z0 != 0 goto $r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	1
if $z0 != 0 goto $r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	if i0 != 0 goto (branch)	0
