start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	z0 := @parameter2: boolean	0
z0 := @parameter2: boolean	z1 := @parameter3: boolean	0
z1 := @parameter3: boolean	r3 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>(r2)	0
r3 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>(r2)	z2 = z0	1
z2 = z0	if r3 == null goto (branch)	1
if r3 == null goto (branch)	if z1 == 0 goto (branch)	0
if r3 == null goto (branch)	if z1 == 0 goto return z2	0
if z1 == 0 goto (branch)	$z3 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("on")	0
if z1 == 0 goto (branch)	if z0 == 0 goto $z5 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("true")	0
$z3 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("on")	if $z3 == 0 goto return z2	1
if $z3 == 0 goto return z2	z2 = 1	0
if $z3 == 0 goto return z2	return z2	0
z2 = 1	goto [?= return z2]	1
goto [?= return z2]	return z2	0
if z0 == 0 goto $z5 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("true")	$z4 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("false")	0
if z0 == 0 goto $z5 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("true")	$z5 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("true")	0
$z4 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("false")	if $z4 == 0 goto return z2	1
if $z4 == 0 goto return z2	z2 = 0	0
if $z4 == 0 goto return z2	return z2	0
z2 = 0	goto [?= return z2]	1
goto [?= return z2]	return z2	0
$z5 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("true")	if $z5 == 0 goto return z2	1
if $z5 == 0 goto return z2	z2 = 1	0
if $z5 == 0 goto return z2	return z2	0
z2 = 1	goto [?= return z2]	1
goto [?= return z2]	return z2	0
if z1 == 0 goto return z2	z2 = 0	0
if z1 == 0 goto return z2	return z2	0
z2 = 0	return z2	1
