start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	r1 := @parameter0: javax.servlet.http.HttpServletRequest	0
r1 := @parameter0: javax.servlet.http.HttpServletRequest	r2 := @parameter1: javax.servlet.http.HttpServletResponse	0
r2 := @parameter1: javax.servlet.http.HttpServletResponse	$r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	0
$r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager.host", $r7)	1
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager.host", $r7)	r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	1
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	1
if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getServletPath()>()	0
if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	0
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getServletPath()>()	r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	1
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain; charset=utf-8")	1
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain; charset=utf-8")	interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("X-Content-Type-Options", "nosniff")	0
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("X-Content-Type-Options", "nosniff")	r6 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	0
r6 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	if r4 != null goto $z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	1
if r4 != null goto $z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	$r8 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	0
if r4 != null goto $z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	$z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	0
$r8 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r9 = virtualinvoke $r8.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("hostManagerServlet.noCommand")	1
$r9 = virtualinvoke $r8.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("hostManagerServlet.noCommand")	virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r9)	1
virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r9)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	if $z0 == 0 goto $z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	1
if $z0 == 0 goto $z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void add(javax.servlet.http.HttpServletRequest,java.io.PrintWriter,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r1, r6, r5, 0, r3)	0
if $z0 == 0 goto $z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	$z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	0
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void add(javax.servlet.http.HttpServletRequest,java.io.PrintWriter,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r1, r6, r5, 0, r3)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	if $z1 == 0 goto $z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	1
if $z1 == 0 goto $z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void remove(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	0
if $z1 == 0 goto $z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	0
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void remove(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	1
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void list(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r6, r3)	0
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	0
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void list(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r6, r3)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	1
if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void start(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	0
if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	0
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void start(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	if $z4 == 0 goto $r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	1
if $z4 == 0 goto $r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void stop(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	0
if $z4 == 0 goto $r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	0
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void stop(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	0
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
$r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r11 = newarray (java.lang.Object)[1]	0
$r11 = newarray (java.lang.Object)[1]	$r11[0] = r4	1
$r11[0] = r4	$r12 = virtualinvoke $r10.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.unknownCommand", $r11)	1
$r12 = virtualinvoke $r10.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.unknownCommand", $r11)	virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r12)	1
virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r12)	virtualinvoke r6.<java.io.PrintWriter: void flush()>()	0
virtualinvoke r6.<java.io.PrintWriter: void flush()>()	virtualinvoke r6.<java.io.PrintWriter: void close()>()	0
virtualinvoke r6.<java.io.PrintWriter: void close()>()	return	0
