start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: org.apache.tomcat.util.res.StringManager	0
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	$i2 = r0.<org.apache.catalina.manager.host.HostManagerServlet: int debug>	0
$i2 = r0.<org.apache.catalina.manager.host.HostManagerServlet: int debug>	if $i2 < 1 goto $r13 = newarray (java.lang.Object)[1]	1
if $i2 < 1 goto $r13 = newarray (java.lang.Object)[1]	$r8 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	0
if $i2 < 1 goto $r13 = newarray (java.lang.Object)[1]	$r13 = newarray (java.lang.Object)[1]	0
$r8 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r9 = newarray (java.lang.Object)[1]	0
$r9 = newarray (java.lang.Object)[1]	$r10 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	1
$r10 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	$r11 = interfaceinvoke $r10.<org.apache.catalina.Engine: java.lang.String getName()>()	1
$r11 = interfaceinvoke $r10.<org.apache.catalina.Engine: java.lang.String getName()>()	$r9[0] = $r11	1
$r9[0] = $r11	$r12 = virtualinvoke $r8.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.list", $r9)	1
$r12 = virtualinvoke $r8.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.list", $r9)	virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void log(java.lang.String)>($r12)	1
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void log(java.lang.String)>($r12)	$r13 = newarray (java.lang.Object)[1]	0
$r13 = newarray (java.lang.Object)[1]	$r14 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	1
$r14 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	$r15 = interfaceinvoke $r14.<org.apache.catalina.Engine: java.lang.String getName()>()	1
$r15 = interfaceinvoke $r14.<org.apache.catalina.Engine: java.lang.String getName()>()	$r13[0] = $r15	1
$r13[0] = $r15	$r16 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.listed", $r13)	1
$r16 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.listed", $r13)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r16)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r16)	$r17 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	0
$r17 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine>	r3 = interfaceinvoke $r17.<org.apache.catalina.Engine: org.apache.catalina.Container[] findChildren()>()	1
r3 = interfaceinvoke $r17.<org.apache.catalina.Engine: org.apache.catalina.Container[] findChildren()>()	i0 = 0	1
i0 = 0	goto [?= $i5 = lengthof r3]	1
goto [?= $i5 = lengthof r3]	$i5 = lengthof r3	0
