start	end	CRUD_Test
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	r1 := @parameter0: java.lang.String	0
r1 := @parameter0: java.lang.String	r2 := @parameter1: java.lang.String[]	0
r2 := @parameter1: java.lang.String[]	r3 := @parameter2: java.lang.Object	0
r3 := @parameter2: java.lang.Object	$r10 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	0
$r10 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	$i2 = lengthof $r10	1
$i2 = lengthof $r10	$i3 = $i2 + 1	1
$i3 = $i2 + 1	r4 = newarray (org.apache.tomcat.util.http.mapper.Mapper$Host)[$i3]	0
r4 = newarray (org.apache.tomcat.util.http.mapper.Mapper$Host)[$i3]	$r11 = new org.apache.tomcat.util.http.mapper.Mapper$Host	0
$r11 = new org.apache.tomcat.util.http.mapper.Mapper$Host	specialinvoke $r11.<org.apache.tomcat.util.http.mapper.Mapper$Host: void <init>(java.lang.String,java.lang.Object)>(r1, r3)	1
specialinvoke $r11.<org.apache.tomcat.util.http.mapper.Mapper$Host: void <init>(java.lang.String,java.lang.Object)>(r1, r3)	r5 = $r11	0
r5 = $r11	$r12 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	1
$r12 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	$z0 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: boolean insertMap(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],org.apache.tomcat.util.http.mapper.Mapper$MapElement[],org.apache.tomcat.util.http.mapper.Mapper$MapElement)>($r12, r4, r5)	1
