start	end	CRUD_Test
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	r1 := @parameter0: java.lang.Object	0
r1 := @parameter0: java.lang.Object	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: java.lang.String	0
r3 := @parameter2: java.lang.String	r4 := @parameter3: java.lang.String	0
r4 := @parameter3: java.lang.String	r5 = specialinvoke r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion findContextVersion(java.lang.String,java.lang.String,java.lang.String,boolean)>(r2, r3, r4, 1)	0
r5 = specialinvoke r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion findContextVersion(java.lang.String,java.lang.String,java.lang.String,boolean)>(r2, r3, r4, 1)	if r5 == null goto return	1
if r5 == null goto return	$r6 = r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.Object object>	0
if r5 == null goto return	return	0
$r6 = r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.Object object>	$z0 = virtualinvoke r1.<java.lang.Object: boolean equals(java.lang.Object)>($r6)	1
$z0 = virtualinvoke r1.<java.lang.Object: boolean equals(java.lang.Object)>($r6)	if $z0 != 0 goto virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	1
if $z0 != 0 goto virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	return	0
if $z0 != 0 goto virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	0
virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	return	0
