start	end	CRUD_Test
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	r1 := @parameter0: java.lang.String	0
r1 := @parameter0: java.lang.String	$r4 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	0
$r4 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	$r5 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$MapElement exactFind(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],java.lang.String)>($r4, r1)	1
$r5 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$MapElement exactFind(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],java.lang.String)>($r4, r1)	r2 = (org.apache.tomcat.util.http.mapper.Mapper$Host) $r5	1
r2 = (org.apache.tomcat.util.http.mapper.Mapper$Host) $r5	if r2 == null goto return	1
if r2 == null goto return	$z0 = virtualinvoke r2.<org.apache.tomcat.util.http.mapper.Mapper$Host: boolean isAlias()>()	0
if r2 == null goto return	return	0
$z0 = virtualinvoke r2.<org.apache.tomcat.util.http.mapper.Mapper$Host: boolean isAlias()>()	if $z0 == 0 goto $r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	1
if $z0 == 0 goto $r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	return	0
if $z0 == 0 goto $r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	$r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	0
$r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	$r7 = virtualinvoke $r6.<java.lang.Object: java.lang.Object clone()>()	1
$r7 = virtualinvoke $r6.<java.lang.Object: java.lang.Object clone()>()	r3 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r7	1
r3 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r7	i0 = 0	1
i0 = 0	i1 = 0	1
i1 = 0	goto [?= $i3 = lengthof r3]	1
goto [?= $i3 = lengthof r3]	$i3 = lengthof r3	0
$r8 = r3[i1]	$r9 = virtualinvoke $r8.<org.apache.tomcat.util.http.mapper.Mapper$Host: org.apache.tomcat.util.http.mapper.Mapper$Host getRealHost()>()	1
$r9 = virtualinvoke $r8.<org.apache.tomcat.util.http.mapper.Mapper$Host: org.apache.tomcat.util.http.mapper.Mapper$Host getRealHost()>()	if $r9 == r2 goto i1 = i1 + 1	1
if $r9 == r2 goto i1 = i1 + 1	$i2 = i0	0
if $r9 == r2 goto i1 = i1 + 1	i1 = i1 + 1	0
$i2 = i0	i0 = i0 + 1	1
i0 = i0 + 1	$r10 = r3[i1]	1
$r10 = r3[i1]	r3[$i2] = $r10	1
r3[$i2] = $r10	i1 = i1 + 1	1
i1 = i1 + 1	$i3 = lengthof r3	1
$i3 = lengthof r3	if i1 < $i3 goto $r8 = r3[i1]	1
if i1 < $i3 goto $r8 = r3[i1]	$r11 = staticinvoke <java.util.Arrays: java.lang.Object[] copyOf(java.lang.Object[],int)>(r3, i0)	0
if i1 < $i3 goto $r8 = r3[i1]	$r8 = r3[i1]	0
$r11 = staticinvoke <java.util.Arrays: java.lang.Object[] copyOf(java.lang.Object[],int)>(r3, i0)	$r12 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r11	1
$r12 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r11	r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts> = $r12	1
r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts> = $r12	return	1
