start	end	CRUD_Test
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	r1 := @parameter0: java.lang.String	0
r1 := @parameter0: java.lang.String	r2 := @parameter1: java.lang.String[]	0
r2 := @parameter1: java.lang.String[]	r3 := @parameter2: javax.naming.Context	0
r3 := @parameter2: javax.naming.Context	$r4 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	0
$r4 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	$r4.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.String path> = r1	1
$r4.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.String path> = r1	$r5 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	1
$r5 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	$r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.String[] welcomeResources> = r2	1
$r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.String[] welcomeResources> = r2	$r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	1
$r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion context>	$r6.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: javax.naming.Context resources> = r3	1
$r6.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: javax.naming.Context resources> = r3	return	1
