start	end	CRUD_Test
r0 := @parameter0: java.io.StringReader	$r1 = new java.util.HashMap	0
$r1 = new java.util.HashMap	specialinvoke $r1.<java.util.HashMap: void <init>()>()	1
specialinvoke $r1.<java.util.HashMap: void <init>()>()	r2 = $r1	0
r2 = $r1	$r6 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "Digest")	1
$r6 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "Digest")	$r7 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	1
$r7 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	if $r6 == $r7 goto r3 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	1
if $r6 == $r7 goto r3 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	return null	0
if $r6 == $r7 goto r3 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	r3 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	0
r3 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	if r3 != null goto $z0 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("")	1
if r3 != null goto $z0 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("")	return null	0
if r3 != null goto $z0 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("")	$z0 = virtualinvoke r3.<java.lang.String: boolean equals(java.lang.Object)>("")	0
$r8 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "=")	$r9 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	1
$r9 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	if $r8 == $r9 goto n0 = null	1
if $r8 == $r9 goto n0 = null	return null	0
if $r8 == $r9 goto n0 = null	n0 = null	0
n0 = null	$r10 = <org.apache.tomcat.util.http.parser.HttpParser: java.util.Map fieldTypes>	1
$r10 = <org.apache.tomcat.util.http.parser.HttpParser: java.util.Map fieldTypes>	$r4 = <java.util.Locale: java.util.Locale ENGLISH>	1
$r4 = <java.util.Locale: java.util.Locale ENGLISH>	$r11 = virtualinvoke r3.<java.lang.String: java.lang.String toLowerCase(java.util.Locale)>($r4)	1
$r11 = virtualinvoke r3.<java.lang.String: java.lang.String toLowerCase(java.util.Locale)>($r4)	$r12 = interfaceinvoke $r10.<java.util.Map: java.lang.Object get(java.lang.Object)>($r11)	1
$r12 = interfaceinvoke $r10.<java.util.Map: java.lang.Object get(java.lang.Object)>($r11)	r5 = (java.lang.Integer) $r12	1
