Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
$r9 = virtualinvoke r6.<java.io.StringWriter: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, $r5, r6, $r8, r7]
r2 := @parameter1: org.apache.catalina.util.ContextName	R	[r0, r1]
r7 = $r8	U	[r0, r1, r2, r3, r4, $r5, r6, $r8]
$r8 = new java.io.PrintWriter	C	[r0, r1, r2, r3, r4, $r5, r6]
specialinvoke $r5.<java.io.StringWriter: void <init>()>()	R	[r0, r1, r2, r3, r4, $r5]
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3]
r1 := @parameter0: java.lang.String	R	[r0]
$r5 = new java.io.StringWriter	C	[r0, r1, r2, r3, r4]
r3 := @parameter2: java.lang.String	R	[r0, r1, r2]
specialinvoke $r8.<java.io.PrintWriter: void <init>(java.io.Writer)>(r6)	R	[r0, r1, r2, r3, r4, $r5, r6, $r8]
return $r9	R	[r0, r1, r2, r3, r4, $r5, r6, $r8, r7, $r9]
r6 = $r5	U	[r0, r1, r2, r3, r4, $r5]
specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void deploy(java.io.PrintWriter,java.lang.String,org.apache.catalina.util.ContextName,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r7, r1, r2, r3, 0, r4)	R	[r0, r1, r2, r3, r4, $r5, r6, $r8, r7]
