Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("currentSession", r6)	R	[r0, r1, r2, r3, r4, r5, r6]
$r9 = interfaceinvoke $r7.<javax.servlet.ServletContext: javax.servlet.RequestDispatcher getRequestDispatcher(java.lang.String)>($r8)	U	[r0, r1, r2, r3, r4, r5, r6, $r7, $r8]
$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: javax.servlet.ServletContext getServletContext()>()	U	[r0, r1, r2, r3, r4, r5, r6]
return	R	[r0, r1, r2, r3, r4, r5, r6, $r7, $r8, $r9]
r5 := @parameter4: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3, r4]
r3 := @parameter2: org.apache.catalina.util.ContextName	R	[r0, r1, r2]
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	[r0]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setDateHeader(java.lang.String,long)>("Expires", 0L)	R	[r0, r1, r2, r3, r4, r5, r6]
$r8 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.lang.String encodeURL(java.lang.String)>("/WEB-INF/jsp/sessionDetail.jsp")	U	[r0, r1, r2, r3, r4, r5, r6, $r7]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Cache-Control", "no-cache,no-store,max-age=0")	R	[r0, r1, r2, r3, r4, r5, r6]
r6 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r3, r4, r5)	U	[r0, r1, r2, r3, r4, r5]
r4 := @parameter3: java.lang.String	R	[r0, r1, r2, r3]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("Pragma", "No-cache")	R	[r0, r1, r2, r3, r4, r5, r6]
r2 := @parameter1: javax.servlet.http.HttpServletResponse	R	[r0, r1]
interfaceinvoke $r9.<javax.servlet.RequestDispatcher: void include(javax.servlet.ServletRequest,javax.servlet.ServletResponse)>(r1, r2)	R	[r0, r1, r2, r3, r4, r5, r6, $r7, $r8, $r9]
