Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15]
$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r6)	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13]
if $z8 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8]
if $z1 != 0 goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r7, r3)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r16, r8)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15, $r16]
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/sessions")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1]
r6 = null	U	[r0, r1, r2, $r9, r3, r4, r5]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/html; charset=utf-8")	R	[r0, r1, r2, $r9, r3, r4, r5, r6]
if $z5 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5]
$r12 := @caughtexception	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2]
specialinvoke $r13.<java.lang.StringBuilder: void <init>(java.lang.String)>("HTMLManagerServlet.sessions[")	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13]
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r9)	U	[r0, r1, r2, $r9]
r2 := @parameter1: javax.servlet.http.HttpServletResponse	R	[r0, r1]
$z9 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8]
$r13 = new java.lang.StringBuilder	C	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8]
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3]
if $z3 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3]
if $z9 == 0 goto $r20 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8, $z9]
$z7 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/expire")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6]
if r5 == null goto interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/html; charset=utf-8")	R	[r0, r1, r2, $r9, r3, r4, r5, r6]
if $z7 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
$z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0]
r7 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r17)	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15, $r16, $r17, $r18]
r7 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.unknownCommand", $r20)	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8, $z9, $r20]
$r11 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("version")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, $r10]
if $z6 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6]
$z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/reload")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4]
$r20[0] = r4	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8, $z9, $r20]
$r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	[r0, r1, r2]
$z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7]
goto [?= virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r7, r3)]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $r19]
r7 = ""	U	[r0, r1, r2, $r9, r3, r4, r5, r6]
specialinvoke $r10.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r5, $r11)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, $r10, $r11]
