Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2]
if $z4 == 0 goto $z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4]
if $z6 == 0 goto $z7 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/findleaks")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6]
if r7 == null goto r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8]
r6 = null	U	[r0, r1, r2, $r12, r3, r4, r5]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/html; charset=utf-8")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String undeploy(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r6, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String findleaks(org.apache.tomcat.util.res.StringManager)>(r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployConfig")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8]
$z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String stop(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r6, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6]
r2 := @parameter1: javax.servlet.http.HttpServletResponse	R	[r0, r1]
$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	[r0, r1, r2]
goto [?= virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)]	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/expire")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String reload(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r6, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2]
$z7 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/findleaks")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String start(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r6, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5]
$r15 = new org.apache.catalina.util.ContextName	C	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8]
specialinvoke $r15.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r7, $r16)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, $r15, $r16]
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r12)	U	[r0, r1, r2, $r12]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String upload(javax.servlet.http.HttpServletRequest,org.apache.tomcat.util.res.StringManager)>(r1, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0]
r11 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String expireSessions(org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,org.apache.tomcat.util.res.StringManager)>(r6, r1, r3)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4]
