Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11, $r12, $r13, $r14, $r15]
$r33 = virtualinvoke $r32.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r31, $r32]
$r23 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20, $r21, $r22]
if $i1 < 1 goto $r17 = "sessionDetail"	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1]
r5 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("action")	U	[r0, r1, r2, r3, r4, $r8, $r9]
$r31 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0]
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3]
$r21 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20]
i0 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: int invalidateSessions(org.apache.catalina.util.ContextName,java.lang.String[],org.apache.tomcat.util.res.StringManager)>(r1, r19, r4)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19]
specialinvoke $r20.<java.lang.StringBuilder: void <init>()>()	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20]
r7 = $r30	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r30]
$r17 = "sessionDetail"	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1]
$z2 = virtualinvoke $r18.<java.lang.String: boolean equals(java.lang.Object)>(r5)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18]
r6 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("sessionId")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1]
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("message", $r23)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20, $r21, $r22, $r23]
$r24 = "removeSessionAttribute"	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2]
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10]
if z0 == 0 goto $r31 = new java.lang.StringBuilder	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0]
r1 := @parameter0: org.apache.catalina.util.ContextName	R	[r0]
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11, $r12, $r13, $r14]
if $z2 == 0 goto $r24 = "removeSessionAttribute"	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2]
r25 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("sessionId")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3]
$r18 = "invalidateSessions"	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1]
$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r26)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r27]
if $z3 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void displaySessionsListPage(org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.tomcat.util.res.StringManager)>(r1, r2, r3, r4)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3]
$z1 = virtualinvoke $r17.<java.lang.String: boolean equals(java.lang.Object)>(r5)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17]
goto [?= r7 = $r30]	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r27, $r28, $r29, $r30]
$r30 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r27, $r28, $r29]
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("path", $r8)	R	[r0, r1, r2, r3, r4, $r8]
$r32 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r26)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r31]
if $z1 == 0 goto $r18 = "invalidateSessions"	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1]
$r10 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1]
$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11, $r12, $r13]
$r20 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0]
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("version", $r9)	R	[r0, r1, r2, r3, r4, $r8, $r9]
$r29 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' removed.")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r27, $r28]
$r8 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	U	[r0, r1, r2, r3, r4]
z0 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: boolean removeSessionAttribute(org.apache.catalina.util.ContextName,java.lang.String,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r25, r26, r4)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26]
$z3 = virtualinvoke $r24.<java.lang.String: boolean equals(java.lang.Object)>(r5)	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24]
specialinvoke $r10.<java.lang.StringBuilder: void <init>(java.lang.String)>("sessions: Session action \'")	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void displaySessionDetailPage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r2, r3, r1, r6, r4)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, r6]
goto [?= virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void displaySessionsListPage(org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.tomcat.util.res.StringManager)>(r1, r2, r3, r4)]	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20, $r21, $r22, $r23]
specialinvoke $r31.<java.lang.StringBuilder: void <init>(java.lang.String)>("Session did not contain any attribute named \'")	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r31]
r3 := @parameter2: javax.servlet.http.HttpServletResponse	R	[r0, r1, r2]
interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: void setAttribute(java.lang.String,java.lang.Object)>("message", r7)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r30, r7]
$r27 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0]
r2 := @parameter1: javax.servlet.http.HttpServletRequest	R	[r0, r1]
$i1 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	U	[r0, r1, r2, r3, r4, $r8, $r9, r5]
specialinvoke $r27.<java.lang.StringBuilder: void <init>(java.lang.String)>("Session attribute \'")	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r27]
r26 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("attributeName")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25]
$r30 = virtualinvoke $r33.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r31, $r32, $r33]
$r9 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getVersion()>()	U	[r0, r1, r2, r3, r4, $r8]
return	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2]
$r22 = virtualinvoke $r21.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" sessions invalidated.")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, r19, i0, $r20, $r21]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r16)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11, $r12, $r13, $r14, $r15, $r16]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void displaySessionsListPage(org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.tomcat.util.res.StringManager)>(r1, r2, r3, r4)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2]
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' for web application \'")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11]
r19 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String[] getParameterValues(java.lang.String)>("sessionIds")	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void displaySessionDetailPage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r2, r3, r1, r25, r4)	R	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r17, $z1, $r18, $z2, $r24, $z3, r25, r26, z0, $r30, r7]
$r13 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, r4, $r8, $r9, r5, $i1, $r10, $r11, $r12]
