Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
r2 := @parameter1: javax.servlet.http.HttpServletRequest	R	[r0, r1]
$r6 := @caughtexception	R	[r0, r1, r2, r3, i0, r4]
r1 := @parameter0: org.apache.catalina.util.ContextName	R	[r0]
r5 = $r6	U	[r0, r1, r2, r3, i0, r4, $r6]
specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>("Could not parse idle parameter to an int: ")	R	[r0, r1, r2, r3, i0, r4, $r6, r5, $r7]
$r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	U	[r0, r1, r2, r3, i0, r4]
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, i0, r4, $r6, r5, $r7, $r8]
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	[r0, r1, r2, r3, i0, r4, $r6, r5, $r7]
$r7 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, i0, r4, $r6, r5]
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r4)	U	[r0, r1, r2, r3, i0, r4]
goto [?= $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)]	R	[r0, r1, r2, r3, i0, r4]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r9)	R	[r0, r1, r2, r3, i0, r4, $r6, r5, $r7, $r8, $r9]
if r4 == null goto $r10 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.lang.String sessions(org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, i0, r3)	R	[r0, r1, r2, r3, i0, r4]
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2]
i0 = -1	U	[r0, r1, r2, r3]
r4 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("idle")	U	[r0, r1, r2, r3, i0]
return $r10	R	[r0, r1, r2, r3, i0, r4, $r10]
