Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
return $r14	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $r14]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6)	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $z0]
specialinvoke $r2.<java.lang.StringBuilder: void <init>()>()	R	[r0, r1, $r2]
$r7 = new java.io.StringWriter	C	[r0, r1, $r2, r3]
r3 = $r2	U	[r0, r1, $r2]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r9)	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $z0, $r9]
r4 = $r7	U	[r0, r1, $r2, r3, $r7]
$r12 = virtualinvoke r1.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.findleaksNone")	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0]
r5 = $r8	U	[r0, r1, $r2, r3, $r7, r4, $r8]
$r9 = virtualinvoke r1.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.findleaksList")	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $z0]
$r8 = new java.io.PrintWriter	C	[r0, r1, $r2, r3, $r7, r4]
specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void findleaks(boolean,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(0, r5, r1)	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5]
goto [?= $r14 = virtualinvoke r3.<java.lang.StringBuilder: java.lang.String toString()>()]	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $z0]
if $i0 <= 0 goto $r12 = virtualinvoke r1.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.findleaksNone")	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0]
$z0 = virtualinvoke r6.<java.lang.String: boolean startsWith(java.lang.String)>("FAIL -")	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0]
$r2 = new java.lang.StringBuilder	C	[r0, r1]
$r14 = virtualinvoke r3.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0]
r6 = virtualinvoke r4.<java.io.StringWriter: java.lang.String toString()>()	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5]
if $z0 != 0 goto virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6)	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $z0]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r12)	R	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6, $i0, $r12]
specialinvoke $r8.<java.io.PrintWriter: void <init>(java.io.Writer)>(r4)	R	[r0, r1, $r2, r3, $r7, r4, $r8]
$i0 = virtualinvoke r6.<java.lang.String: int length()>()	U	[r0, r1, $r2, r3, $r7, r4, $r8, r5, r6]
r1 := @parameter0: org.apache.tomcat.util.res.StringManager	R	[r0]
specialinvoke $r7.<java.io.StringWriter: void <init>()>()	R	[r0, r1, $r2, r3, $r7]
