Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
goto [?= return r2]	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7, $r19, $z8, $r20]
return r2	R	[r0, r1, r2, $r3, $z0]
$z4 = virtualinvoke $r11.<java.lang.String: boolean equalsIgnoreCase(java.lang.String)>(r1)	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11]
$z5 = virtualinvoke $r13.<java.lang.String: boolean equalsIgnoreCase(java.lang.String)>(r1)	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13]
$r14 = new org.apache.catalina.manager.HTMLManagerServlet$6	C	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5]
specialinvoke $r18.<org.apache.catalina.manager.HTMLManagerServlet$8: void <init>(org.apache.catalina.manager.HTMLManagerServlet)>(r0)	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7, $r18]
if $z5 == 0 goto $r15 = "user"	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5]
if $z3 == 0 goto $r11 = "new"	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3]
if $z9 == 0 goto return r2	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7, $r19, $z8, $r21, $z9]
$r10 = new org.apache.catalina.manager.HTMLManagerServlet$4	C	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3]
$r11 = "new"	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3]
if $z6 == 0 goto $r17 = "UsedTime"	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6]
specialinvoke $r6.<org.apache.catalina.manager.HTMLManagerServlet$2: void <init>(org.apache.catalina.manager.HTMLManagerServlet)>(r0)	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r6]
$r19 = "InactiveTime"	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7]
if $z4 == 0 goto $r13 = "locale"	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4]
if $z1 == 0 goto $r7 = "LastAccessedTime"	R	[r0, r1, r2, $r3, $z0, $r5, $z1]
$r21 = "TTL"	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7, $r19, $z8]
specialinvoke $r14.<org.apache.catalina.manager.HTMLManagerServlet$6: void <init>(org.apache.catalina.manager.HTMLManagerServlet)>(r0)	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r14]
$r9 = "MaxInactiveInterval"	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2]
if $z8 == 0 goto $r21 = "TTL"	R	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6, $r17, $z7, $r19, $z8]
specialinvoke $r4.<org.apache.catalina.manager.HTMLManagerServlet$1: void <init>(org.apache.catalina.manager.HTMLManagerServlet)>(r0)	R	[r0, r1, r2, $r3, $z0, $r4]
$r16 = new org.apache.catalina.manager.HTMLManagerServlet$7	C	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15, $z6]
$r15 = "user"	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5]
$r12 = new org.apache.catalina.manager.HTMLManagerServlet$5	C	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4]
$z6 = virtualinvoke $r15.<java.lang.String: boolean equalsIgnoreCase(java.lang.String)>(r1)	U	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2, $r9, $z3, $r11, $z4, $r13, $z5, $r15]
$r8 = new org.apache.catalina.manager.HTMLManagerServlet$3	C	[r0, r1, r2, $r3, $z0, $r5, $z1, $r7, $z2]
r2 = null	U	[r0, r1]
