Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
r4 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: java.util.List getSessionsForName(org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r1, r3)	U	[r0, r1, r2, r3]
return r6	R	[r0, r1, r2, r3, r4, $z0, r5, $z2, $r7, r6, $r8, $z1]
r1 := @parameter0: org.apache.catalina.util.ContextName	R	[r0]
$z1 = virtualinvoke $r8.<java.lang.String: boolean equals(java.lang.Object)>(r2)	U	[r0, r1, r2, r3, r4, $z0, r5, $z2, $r7, r6, $r8]
if $z1 == 0 goto $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	R	[r0, r1, r2, r3, r4, $z0, r5, $z2, $r7, r6, $r8, $z1]
r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	U	[r0, r1, r2, r3, r4, $z0]
goto [?= $z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()]	R	[r0, r1, r2, r3, r4, $z0, r5]
return null	R	[r0, r1, r2, r3, r4, $z0, r5, $z2]
r2 := @parameter1: java.lang.String	R	[r0, r1]
$z0 = interfaceinvoke r4.<java.util.List: boolean isEmpty()>()	U	[r0, r1, r2, r3, r4]
r6 = (org.apache.catalina.Session) $r7	U	[r0, r1, r2, r3, r4, $z0, r5, $z2, $r7]
$z2 = interfaceinvoke r5.<java.util.Iterator: boolean hasNext()>()	U	[r0, r1, r2, r3, r4, $z0, r5]
$r8 = interfaceinvoke r6.<org.apache.catalina.Session: java.lang.String getId()>()	U	[r0, r1, r2, r3, r4, $z0, r5, $z2, $r7, r6]
$r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	U	[r0, r1, r2, r3, r4, $z0, r5, $z2]
if $z0 == 0 goto r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>()	R	[r0, r1, r2, r3, r4, $z0]
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2]
if $z2 != 0 goto $r7 = interfaceinvoke r5.<java.util.Iterator: java.lang.Object next()>()	R	[r0, r1, r2, r3, r4, $z0, r5, $z2]
