Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
interfaceinvoke r5.<java.util.List: boolean add(java.lang.Object)>($r33)	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, r30, $z8, $r31, r32, $r33]
r32 = (java.lang.String) $r31	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, r30, $z8, $r31]
$r22 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r21)	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, $r19, $r20, $r21]
return r5	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3]
$r21 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, $r19, $r20]
throw $r11	R	[r0, r1, r2, r3, $r11, $r12, $r13, $r14]
if r18 != null goto r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18]
$z3 = r4 instanceof org.apache.catalina.DistributedManager	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26]
$r29 = interfaceinvoke r8.<org.apache.catalina.Session: java.lang.String getId()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, $r28, r8]
specialinvoke $r11.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>($r14)	R	[r0, r1, r2, r3, $r11, $r12, $r13, $r14]
