Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
r6 = $r14	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14]
if i1 < $i5 goto r4 = r2[i1]	R	[r0, r1, r2, r3, i0, i1, $i5]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r10)	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2, $r8, $r9, $r10]
r4 = r2[i1]	U	[r0, r1, r2, r3, i0, i1, $i5]
specialinvoke $r11.<java.lang.StringBuilder: void <init>(java.lang.String)>("Invalidating session id ")	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3, $r11]
return i0	R	[r0, r1, r2, r3, i0, i1, $i5]
$i5 = lengthof r2	U	[r0, r1, r2, r3, i0, i1]
i1 = 0	U	[r0, r1, r2, r3, i0]
specialinvoke $r15.<java.lang.StringBuilder: void <init>(java.lang.String)>("Can\'t invalidate already invalidated session id ")	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4, $r15]
$r11 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3]
if r5 != null goto interfaceinvoke r5.<javax.servlet.http.HttpSession: void invalidate()>()	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
$i3 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
$r8 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2]
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3, $r11, $r12]
$i2 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r17)	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4, $r15, $r16, $r17]
specialinvoke $r8.<java.lang.StringBuilder: void <init>(java.lang.String)>("WARNING: can\'t invalidate null session ")	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2, $r8]
if r2 != null goto i0 = 0	R	[r0, r1, r2, r3]
if $i3 < 1 goto i1 = i1 + 1	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3]
i1 = i1 + 1	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
goto [?= i1 = i1 + 1]	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3, $r11, $r12, $r13]
$r17 = virtualinvoke $r16.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4, $r15, $r16]
r1 := @parameter0: org.apache.catalina.util.ContextName	R	[r0]
return 0	R	[r0, r1, r2, r3]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void log(java.lang.String)>($r13)	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3, $r11, $r12, $r13]
r2 := @parameter1: java.lang.String[]	R	[r0, r1]
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i3, $r11]
if $i2 < 1 goto i1 = i1 + 1	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2]
$i4 = r0.<org.apache.catalina.manager.HTMLManagerServlet: int debug>	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6]
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2, $r8]
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4, $r15]
r5 = interfaceinvoke $r7.<org.apache.catalina.Session: javax.servlet.http.HttpSession getSession()>()	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7]
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $i2, $r8, $r9]
goto [?= $i5 = lengthof r2]	R	[r0, r1, r2, r3, i0, i1]
$r15 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4]
if $i4 < 1 goto i1 = i1 + 1	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5, $r14, r6, $i4]
$r7 = virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Session getSessionForNameAndId(org.apache.catalina.util.ContextName,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r4, r3)	U	[r0, r1, r2, r3, i0, i1, $i5, r4]
i0 = 0	U	[r0, r1, r2, r3]
i0 = i0 + 1	U	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
$r14 := @caughtexception	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2]
interfaceinvoke r5.<javax.servlet.http.HttpSession: void invalidate()>()	R	[r0, r1, r2, r3, i0, i1, $i5, r4, $r7, r5]
