Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.HTMLManagerServlet	R	[]
return $r7	R	[r0, r1, i0, r2, $r3, r4, $r6, r5, $r7]
$r6 = new java.io.PrintWriter	C	[r0, r1, i0, r2, $r3, r4]
i0 := @parameter1: int	R	[r0, r1]
r1 := @parameter0: org.apache.catalina.util.ContextName	R	[r0]
r5 = $r6	U	[r0, r1, i0, r2, $r3, r4, $r6]
$r3 = new java.io.StringWriter	C	[r0, r1, i0, r2]
$r7 = virtualinvoke r4.<java.io.StringWriter: java.lang.String toString()>()	U	[r0, r1, i0, r2, $r3, r4, $r6, r5]
specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void sessions(java.io.PrintWriter,org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r5, r1, i0, r2)	R	[r0, r1, i0, r2, $r3, r4, $r6, r5]
specialinvoke $r6.<java.io.PrintWriter: void <init>(java.io.Writer)>(r4)	R	[r0, r1, i0, r2, $r3, r4, $r6]
specialinvoke $r3.<java.io.StringWriter: void <init>()>()	R	[r0, r1, i0, r2, $r3]
r4 = $r3	U	[r0, r1, i0, r2, $r3]
r2 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, i0]
