Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.File	R	[]
if r0 == null goto return z0	R	[r0, r1, z0]
goto [?= return z0]	R	[r0, r1, z0, $r3, $r4, $z1, $r5]
$r6 := @caughtexception	R	[r0, r1, z0]
if $z1 != 0 goto return z0	R	[r0, r1, z0, $r3, $r4, $z1]
return z0	R	[r0, r1, z0]
$r4 = virtualinvoke r1.<java.io.File: java.lang.String getCanonicalPath()>()	U	[r0, r1, z0, $r3]
r1 := @parameter1: java.io.File	R	[r0]
virtualinvoke r2.<java.io.IOException: void printStackTrace()>()	R	[r0, r1, z0, $r6, r2]
$r3 = virtualinvoke r0.<java.io.File: java.lang.String getCanonicalPath()>()	U	[r0, r1, z0]
$r5 = newarray (byte)[4096]	C	[r0, r1, z0, $r3, $r4, $z1]
z0 = 0	U	[r0, r1]
$z1 = virtualinvoke $r3.<java.lang.String: boolean equals(java.lang.Object)>($r4)	U	[r0, r1, z0, $r3, $r4]
r2 = $r6	U	[r0, r1, z0, $r6]
z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean copyInternal(java.io.File,java.io.File,byte[])>(r0, r1, $r5)	U	[r0, r1, z0, $r3, $r4, $z1, $r5]
