Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$z9 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/serverinfo")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8]
r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("tag")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain; charset=utf-8")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3]
if r9 != null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void deploy(java.io.PrintWriter,java.lang.String,org.apache.catalina.util.ContextName,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r11, r5, r7, r9, z0, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
if $z5 == 0 goto $z6 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/reload")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5]
if $z10 == 0 goto $z11 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/expire")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void findleaks(boolean,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(z1, r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15]
$z3 = virtualinvoke $r17.<java.lang.String: boolean equals(java.lang.Object)>($r18)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void resources(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r11, r8, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7]
r2 := @parameter1: javax.servlet.http.HttpServletResponse	R	[r0, r1]
$z7 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/resources")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6]
$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	[r0, r1, r2]
$z17 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/threaddump")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16]
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getServletPath()>()	U	[r0, r1, r2, $r12, r3, r4]
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
$r17 = "true"	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void deploy(java.io.PrintWriter,java.lang.String,org.apache.catalina.util.ContextName,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r11, r5, r7, r9, z0, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
$z15 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/findleaks")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14]
if $z4 == 0 goto $z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
$r24[0] = r4	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17, $r24]
$z8 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/save")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7]
if r6 == null goto r8 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("type")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void expireSessions(java.io.PrintWriter,org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,org.apache.tomcat.util.res.StringManager)>(r11, r7, r1, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11]
virtualinvoke r11.<java.io.PrintWriter: void close()>()	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
$z14 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13]
if $z7 == 0 goto $z8 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/save")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7]
$r16 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("update")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15]
if r5 == null goto (branch)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
$r24 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17]
$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidCommand", $r20)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $r20]
if $z16 == 0 goto $z17 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/threaddump")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16]
z0 = 1	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, $r16, $z2]
z0 = 0	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10]
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r12)	U	[r0, r1, r2, $r12]
$z10 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/sessions")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9]
if $z2 == 0 goto z1 = 0	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, $r16, $z2]
if r10 != null goto virtualinvoke r11.<java.io.PrintWriter: void flush()>()	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
if $r15 == null goto z1 = 0	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15]
r7 = $r13	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, $r13, $r14]
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("config")	U	[r0, r1, r2, $r12, r3, r4]
if $z12 == 0 goto $z13 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12]
