Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
if r4 != null goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	R	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12, r7]
$r12 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("update")	U	[r0, r1, r2, $r8, r3, r4, r5, n0, z0]
$r15 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12, r7, $z3]
if r5 == null goto interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("tag")	R	[r0, r1, r2, $r8, r3, r4, r5, n0]
if $r12 == null goto interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain;charset=utf-8")	R	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12]
n0 = null	U	[r0, r1, r2, $r8, r3, r4, r5]
$r16 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.unknownCommand", $r15)	U	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12, r7, $z3, $r15]
r7 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	U	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12]
virtualinvoke r7.<java.io.PrintWriter: void close()>()	R	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12, r7]
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	[r0]
goto [?= virtualinvoke r7.<java.io.PrintWriter: void flush()>()]	R	[r0, r1, r2, $r8, r3, r4, r5, n0, z0, $r12, r7, $r14]
if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	R	[r0, r1, r2, $r8, r3, r4]
