Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
r2 := @parameter1: org.apache.catalina.util.ContextName	R	[r0, r1]
$r7 := @caughtexception	R	[r0, r1, r2, r3, r4, i0, r5]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r10)	R	[r0, r1, r2, r3, r4, i0, r5, $r7, r6, $r8, $r9, $r10]
if r5 == null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void sessions(java.io.PrintWriter,org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, r2, i0, r4)	R	[r0, r1, r2, r3, r4, i0, r5]
return	R	[r0, r1, r2, r3, r4, i0, r5]
goto [?= virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void sessions(java.io.PrintWriter,org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, r2, i0, r4)]	R	[r0, r1, r2, r3, r4, i0, r5]
specialinvoke $r8.<java.lang.StringBuilder: void <init>(java.lang.String)>("Could not parse idle parameter to an int: ")	R	[r0, r1, r2, r3, r4, i0, r5, $r7, r6, $r8]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void sessions(java.io.PrintWriter,org.apache.catalina.util.ContextName,int,org.apache.tomcat.util.res.StringManager)>(r1, r2, i0, r4)	R	[r0, r1, r2, r3, r4, i0, r5]
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5)	U	[r0, r1, r2, r3, r4, i0, r5, $r7, r6, $r8]
r3 := @parameter2: javax.servlet.http.HttpServletRequest	R	[r0, r1, r2]
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3]
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, i0, r5, $r7, r6, $r8, $r9]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r5)	U	[r0, r1, r2, r3, r4, i0, r5]
$r8 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, i0, r5, $r7, r6]
i0 = -1	U	[r0, r1, r2, r3, r4]
r5 = interfaceinvoke r3.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("idle")	U	[r0, r1, r2, r3, r4, i0]
r6 = $r7	U	[r0, r1, r2, r3, r4, i0, r5, $r7]
