Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
z0 := @parameter0: boolean	R	[r0]
r1 := @parameter1: java.io.PrintWriter	R	[r0, z0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r13)	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, $r13]
if $z2 == 0 goto virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>(r5)	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5, $r12, $z2]
$r9 = (org.apache.catalina.core.StandardHost) $r8	U	[r0, z0, r1, r2, $r6, $z1, $r8]
$z2 = virtualinvoke $r12.<java.lang.String: boolean equals(java.lang.Object)>(r5)	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5, $r12]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r10)	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, $r10]
i1 = 0	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0]
$r8 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, z0, r1, r2, $r6, $z1]
$i2 = lengthof r3	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3]
$r6 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, z0, r1, r2]
if $i2 <= 0 goto (branch)	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
goto [?= return]	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1]
goto [?= (branch)]	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1]
$r10 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.findleaksList")	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r7)	R	[r0, z0, r1, r2, $r6, $z1, $r7]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>(r5)	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5, $r12, $z2]
i1 = i1 + 1	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5, $r12, $z2]
if i1 < i0 goto r5 = r4[i1]	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1]
return	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
r5 = "/"	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5, $r12, $z2]
if $z1 != 0 goto $r8 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	R	[r0, z0, r1, r2, $r6, $z1]
if z0 == 0 goto return	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
if z0 == 0 goto r4 = r3	R	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
r4 = r3	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
$r12 = ""	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1, r5]
i0 = lengthof r3	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4]
$z1 = $r6 instanceof org.apache.catalina.core.StandardHost	U	[r0, z0, r1, r2, $r6]
$r13 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.findleaksNone")	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2]
r5 = r4[i1]	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9, r3, $i2, r4, i0, i1]
r3 = virtualinvoke $r9.<org.apache.catalina.core.StandardHost: java.lang.String[] findReloadedContextMemoryLeaks()>()	U	[r0, z0, r1, r2, $r6, $z1, $r8, $r9]
$r7 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.findleaksFail")	U	[r0, z0, r1, r2, $r6, $z1]
r2 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, z0, r1]
