Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$r21 = interfaceinvoke $r20.<javax.servlet.ServletContext: java.lang.Object getAttribute(java.lang.String)>("javax.servlet.context.tempdir")	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20]
$r22 = (java.io.File) $r21	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21]
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r2)	R	[r0, $r7, $r8, n0, $r13, r2]
$r28 = new java.io.File	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0]
specialinvoke $r32.<java.io.File: void <init>(java.io.File,java.lang.String)>($r33, $r34)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r32, $r33, $r34]
if $r43 == null goto return	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40, $r41, $r42, $r43]
n0 = null	U	[r0, $r7, $r8]
r3 = interfaceinvoke $r25.<org.apache.catalina.Host: java.lang.String getAppBase()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25]
$r42 = virtualinvoke $r41.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40, $r41]
$r11 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletConfig getServletConfig()>()	U	[r0, $r7, $r8, n0]
if r5 == null goto $i1 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
r6 = null	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase> = $r35	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r35, $r36, $r37]
$r14 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, $r7, $r8, n0]
$r1 = <org.apache.catalina.manager.ManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	[r0, $r7, $r9]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase> = $r32	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r32, $r33, $r34]
$r40 = virtualinvoke $r38.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r39)	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39]
r4 = interfaceinvoke r4.<org.apache.catalina.Container: org.apache.catalina.Container getParent()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1, $z2]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase> = $r30	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31]
r18 = interfaceinvoke $r17.<org.apache.catalina.Service: org.apache.catalina.Server getServer()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17]
$r16 = (org.apache.catalina.Engine) $r15	U	[r0, $r7, $r8, n0, $r14, $r15]
if $i1 < 1 goto return	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1]
$r35 = new java.io.File	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
if $r8 != null goto n0 = null	R	[r0, $r7, $r8]
throw $r9	R	[r0, $r7, $r9, $r1, $r10]
$r31 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("catalina.base")	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30]
if $z2 == 0 goto r4 = interfaceinvoke r4.<org.apache.catalina.Container: org.apache.catalina.Container getParent()>()	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1, $z2]
if r4 != null goto $z1 = r4 instanceof org.apache.catalina.Host	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("init: Global resources are available")	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40, $r41, $r42, $r43]
$r36 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r35]
if $z0 != 0 goto $r30 = new java.io.File	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0]
r6 = r4	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1, $z2]
$r19 = interfaceinvoke r18.<org.apache.catalina.Server: javax.naming.Context getGlobalNamingContext()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18]
$r20 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletContext getServletContext()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18]
specialinvoke $r28.<java.io.File: void <init>(java.lang.String,java.lang.String)>($r29, r3)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r28, $r29]
