Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$r9 = interfaceinvoke $r7.<javax.management.MBeanServer: java.lang.Object invoke(javax.management.ObjectName,java.lang.String,java.lang.Object[],java.lang.String[])>($r8, "isServiced", r2, r3)	U	[r0, r1, $r5, r2, $r6, r3, $r7, $r8]
r3 = $r6	U	[r0, r1, $r5, r2, $r6]
$r8 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname>	U	[r0, r1, $r5, r2, $r6, r3, $r7]
$r5[0] = r1	U	[r0, r1, $r5]
$r6 = newarray (java.lang.String)[1]	C	[r0, r1, $r5, r2]
$z0 = virtualinvoke r4.<java.lang.Boolean: boolean booleanValue()>()	U	[r0, r1, $r5, r2, $r6, r3, $r7, $r8, $r9, r4]
$r6[0] = "java.lang.String"	U	[r0, r1, $r5, r2, $r6]
r1 := @parameter0: java.lang.String	R	[r0]
r4 = (java.lang.Boolean) $r9	U	[r0, r1, $r5, r2, $r6, r3, $r7, $r8, $r9]
return $z0	R	[r0, r1, $r5, r2, $r6, r3, $r7, $r8, $r9, r4, $z0]
$r5 = newarray (java.lang.String)[1]	C	[r0, r1]
r2 = $r5	U	[r0, r1, $r5]
$r7 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, r1, $r5, r2, $r6, r3]
