Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
if i0 < $i3 goto $r17 = r3[i0]	R	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3]
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r11)	R	[r0, r1, r2, $i1, $r6, $r7, $r8, $r9, $r10, $r11]
$r19 = newarray (java.lang.Object)[4]	C	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1]
$r27[1] = "stopped"	U	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r27]
$r21 = interfaceinvoke r4.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	U	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r19, $r20]
if $i1 < 1 goto $r12 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $i1]
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, $i1, $r6, $r7, $r8, $r9, $r10]
$r6 = new java.lang.StringBuilder	C	[r0, r1, r2, $i1]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r29)	R	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r27, $r28, $r29]
$r27[2] = "0"	U	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r27]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15]
specialinvoke $r20.<java.lang.StringBuilder: void <init>()>()	R	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r19, $r20]
$r22 = interfaceinvoke $r21.<org.apache.catalina.Manager: org.apache.catalina.Session[] findSessions()>()	U	[r0, r1, r2, $i1, $r12, $r13, $r14, $r15, $r16, r3, i0, $i3, $r17, r4, r5, $z0, $r18, $z1, $r19, $r20, $r21]
