Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9, $r12, $r13, $r14, $r15]
if r5 == null goto $r20 = new java.lang.StringBuilder	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0]
if $z0 == 0 goto (branch)	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0]
$r21 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r2)	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20]
specialinvoke $r28.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.resources[")	R	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28]
$r12 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r2)	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9]
r3 := @parameter2: javax.naming.Context	R	[r0, r1, r2]
goto [?= $z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()]	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r19, $z1]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void printResources(java.io.PrintWriter,java.lang.String,javax.naming.Context,java.lang.String,java.lang.Class,org.apache.tomcat.util.res.StringManager)>(r1, $r16, $r18, r4, r5, r6)	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9, $r12, $r13, $r14, $r15, $r16, $r17, $r18]
$r29 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
$r28 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, r5, r6, $r26, r27]
virtualinvoke r1.<java.io.PrintWriter: void println()>()	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22, $r23, $r24, $r25]
virtualinvoke r1.<java.io.PrintWriter: void print(java.lang.String)>($r25)	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22, $r23, $r24, $r25]
$r34 = virtualinvoke r6.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r32)	U	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28, $r29, $r30, $r31, $r32, $r33]
$r10 = interfaceinvoke r7.<javax.naming.NamingEnumeration: java.lang.Object next()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2]
$z1 = virtualinvoke r5.<java.lang.Class: boolean isInstance(java.lang.Object)>($r19)	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r19]
$z2 = interfaceinvoke r7.<javax.naming.NamingEnumeration: boolean hasMore()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7]
$r22 = virtualinvoke r8.<javax.naming.Binding: java.lang.String getName()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21]
$r14 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9, $r12, $r13]
r5 := @parameter4: java.lang.Class	R	[r0, r1, r2, r3, r4]
$r17 = virtualinvoke r8.<javax.naming.Binding: java.lang.Object getObject()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9, $r12, $r13, $r14, $r15, $r16]
r7 = interfaceinvoke r3.<javax.naming.Context: javax.naming.NamingEnumeration listBindings(java.lang.String)>("")	U	[r0, r1, r2, r3, r4, r5, r6]
$r9 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0]
$r19 = virtualinvoke r8.<javax.naming.Binding: java.lang.Object getObject()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0]
$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22, $r23]
$r25 = virtualinvoke r8.<javax.naming.Binding: java.lang.String getClassName()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22, $r23, $r24]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r31, r27)	R	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28, $r29, $r30, $r31]
$r13 = virtualinvoke r8.<javax.naming.Binding: java.lang.String getName()>()	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r9, $r12]
$r20 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0]
if $z1 != 0 goto $r20 = new java.lang.StringBuilder	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r19, $z1]
$r32[0] = $r33	U	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28, $r29, $r30, $r31, $r32, $r33]
specialinvoke $r20.<java.lang.StringBuilder: void <init>(java.lang.String)>($r21)	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21]
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r27)	R	[r0, r1, r2, r3, r4, r5, r6, $r26, r27]
r4 := @parameter3: java.lang.String	R	[r0, r1, r2, r3]
goto [?= return]	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2]
r6 := @parameter5: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3, r4, r5]
virtualinvoke r1.<java.io.PrintWriter: void print(char)>(58)	R	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22, $r23, $r24]
$r32 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, r4, r5, r6, $r26, r27, $r28, $r29, $r30, $r31]
$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r22)	U	[r0, r1, r2, r3, r4, r5, r6, r7, $z2, $r10, r8, $r11, $z0, $r20, $r21, $r22]
