Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2, r3]
specialinvoke $r25.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.reload[")	R	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25]
$r21 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1, $r20]
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $r5, $r6, $r7]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r12, $r13, $r14, $r15]
$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25, $r26, $r27]
$r11 = interfaceinvoke $r9.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r10)	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r22)	R	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1, $r20, $r21, $r22]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	R	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1, $r19]
$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	U	[r0, r1, r2, r3, $i0, $r5]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r8)	R	[r0, r1, r2, r3, $i0, $r5, $r6, $r7, $r8]
