Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2, r3]
$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r19)	U	[r0, r1, r2, r3, $i0, $r9, r4, $r14, r5, $r15, $r16, $r17, $r18, $r19, $r20]
if $i0 < 1 goto $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	R	[r0, r1, r2, r3, $i0]
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $r6, $r7]
$r10 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noGlobal")	U	[r0, r1, r2, r3, $i0, $r9]
$r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	U	[r0, r1, r2, r3, $i0]
$r17 = virtualinvoke $r16.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	[r0, r1, r2, r3, $i0, $r9, r4, $r14, r5, $r15, $r16]
goto [?= $r9 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>]	R	[r0, r1, r2, r3, $i0, $r6, $r7, $r8]
if $r9 != null goto (branch)	R	[r0, r1, r2, r3, $i0, $r9]
$r22 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	U	[r0, r1, r2, r3, $i0, $r9, r4]
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("resources:  Listing resources of type ")	R	[r0, r1, r2, r3, $i0, $r6]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r13)	R	[r0, r1, r2, r3, $i0, $r9, $r13]
$r6 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0]
