Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$z1 = virtualinvoke r2.<java.lang.String: boolean startsWith(java.lang.String)>("/")	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r35)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32, $r33, $r34, $r35]
$r23 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6]
if $z1 != 0 goto r20 = r2	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1]
$r16 := @caughtexception	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
$r25 = (org.apache.catalina.core.StandardServer) r4	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6]
r20 = ""	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2]
$r29 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7]
$r13 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.saveFail", $r12)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r12]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
$r23[0] = r2	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r23]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r14, $r15]
$r8 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, r3]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5, $r17, $r18, $r19]
$r22 = interfaceinvoke $r21.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r20)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21]
if r6 != null goto $r25 = (org.apache.catalina.core.StandardServer) r4	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6]
specialinvoke $r29.<java.lang.StringBuilder: void <init>(java.lang.String)>("managerServlet.save[")	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29]
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.saved")	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r14]
r6 = (org.apache.catalina.Context) $r22	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22]
r7 = $r28	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28]
$r26 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25]
$r33[0] = $r34	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32, $r33, $r34]
if $z2 == 0 goto $r21 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2]
r4 = interfaceinvoke $r11.<org.apache.catalina.Service: org.apache.catalina.Server getServer()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11]
$r21 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2]
$r9 = interfaceinvoke $r8.<org.apache.catalina.Host: org.apache.catalina.Container getParent()>()	U	[r0, r1, r2, r3, $r8]
r20 = r2	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1]
$r27 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.savedContext", $r26)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25, $r26]
if $z0 != 0 goto (branch)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
virtualinvoke $r25.<org.apache.catalina.core.StandardServer: void storeContext(org.apache.catalina.Context)>(r6)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r32, r7)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32]
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2]
$r35 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r33)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32, $r33, $r34]
$i0 = virtualinvoke r2.<java.lang.String: int length()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
$r12[0] = r4	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r12]
$r14 = (org.apache.catalina.core.StandardServer) r4	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
$r26[0] = r2	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25, $r26]
$r12 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r13)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r12, $r13]
$r24 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r23)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r23]
$r17[0] = $r18	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5, $r17, $r18]
$z0 = r4 instanceof org.apache.catalina.core.StandardServer	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4]
if r2 == null goto $r14 = (org.apache.catalina.core.StandardServer) r4	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
goto [?= return]	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25, $r26, $r27]
$r32 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r24)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r23, $r24]
$r31 = virtualinvoke $r30.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r27)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r25, $r26, $r27]
$r10 = (org.apache.catalina.Engine) $r9	U	[r0, r1, r2, r3, $r8, $r9]
virtualinvoke $r14.<org.apache.catalina.core.StandardServer: void storeConfig()>()	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r14]
$r33 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32]
return	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0]
$r17 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5]
$z2 = virtualinvoke r2.<java.lang.String: boolean equals(java.lang.Object)>("/")	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20]
$r34 = virtualinvoke r7.<java.lang.Exception: java.lang.String toString()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29, $r30, $r31, $r32, $r33]
$r18 = virtualinvoke r5.<java.lang.Exception: java.lang.String toString()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5, $r17]
$r11 = interfaceinvoke $r10.<org.apache.catalina.Engine: org.apache.catalina.Service getService()>()	U	[r0, r1, r2, r3, $r8, $r9, $r10]
$r28 := @caughtexception	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6]
r2 := @parameter1: java.lang.String	R	[r0, r1]
r5 = $r16	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>("managerServlet.storeConfig", r5)	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5]
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r17)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $r16, r5, $r17, $r18]
$r30 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	U	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0, $z1, r20, $z2, $r21, $r22, r6, $r28, r7, $r29]
if $i0 == 0 goto $r14 = (org.apache.catalina.core.StandardServer) r4	R	[r0, r1, r2, r3, $r8, $r9, $r10, $r11, r4, $z0, $i0]
