Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2]
if $i0 < 1 goto $r4 = new java.lang.StringBuilder	R	[r0, r1, r2, $i0]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nOS Name: ")	R	[r0, r1, r2, $i0, $r4, r3, $r7]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r13)	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13]
r26 = $r25	U	[r0, r1, r2, $i0, $r25]
$r30 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r28)	U	[r0, r1, r2, $i0, $r25, r26, $r27, $r28, $r29]
$r13 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	U	[r0, r1, r2, $i0, $r4, r3, $r7, $r10]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r7)	R	[r0, r1, r2, $i0, $r4, r3, $r7]
$r28[0] = $r29	U	[r0, r1, r2, $i0, $r25, r26, $r27, $r28, $r29]
$r16 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	U	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13]
$r25 := @caughtexception	R	[r0, r1, r2, $i0]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nTomcat Version: ")	R	[r0, r1, r2, $i0, $r4, r3]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10]
$r28 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $i0, $r25, r26, $r27]
$r29 = virtualinvoke r26.<java.lang.Throwable: java.lang.String toString()>()	U	[r0, r1, r2, $i0, $r25, r26, $r27, $r28]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r16)	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\nJVM Vendor: ")	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19]
goto [?= return]	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19, $r22, $r24]
r2 := @parameter1: org.apache.tomcat.util.res.StringManager	R	[r0, r1]
$r24 = virtualinvoke r3.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19, $r22]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>("serverinfo")	R	[r0, r1, r2, $i0]
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r22)	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19, $r22]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r24)	R	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19, $r22, $r24]
$r22 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	U	[r0, r1, r2, $i0, $r4, r3, $r7, $r10, $r13, $r16, $r19]
r3 = $r4	U	[r0, r1, r2, $i0, $r4]
