Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2, r3]
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, $i0, $r6, $r7]
$r29[0] = $r30	U	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26, $r27, $r28, $r29, $r30]
r5 = (org.apache.catalina.Context) $r12	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r31)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26, $r27, $r28, $r29, $r30, $r31]
$r24 = <org.apache.catalina.manager.ManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23]
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $r6, $r7, $r8]
$r13[0] = $r14	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14]
$r6 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14, $r15]
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, r3, $i0, $z0, r4]
r22 = $r21	U	[r0, r1, r2, r3, $i0, $z0, r4, $r21]
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("start: Starting web application \'")	R	[r0, r1, r2, r3, $i0, $r6]
