Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2, r3]
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, $i0, $r6, $r7]
r5 = (org.apache.catalina.Context) $r12	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12]
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24, $r25, $r26]
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $r6, $r7, $r8]
$r13[0] = $r14	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r27, r23)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24, $r25, $r26, $r27]
$r28[0] = $r29	U	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24, $r25, $r26, $r27, $r28, $r29]
$r6 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
r23 = $r22	U	[r0, r1, r2, r3, $i0, $z0, r4, $r22]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14, $r15]
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, r3, $i0, $z0, r4]
$r30 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r28)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24, $r25, $r26, $r27, $r28, $r29]
