Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
goto [?= $i1 = lengthof r2]	R	[r0, r1, r2, i0]
if $z0 == 0 goto $z2 = virtualinvoke r3.<java.io.File: boolean delete()>()	R	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0]
if $z1 != 0 goto i0 = i0 + 1	R	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0, $z1]
if r2 != null goto i0 = 0	R	[r0, r1, r2]
r3 = $r4	U	[r0, r1, r2, i0, $i1, $r4, $r5]
r2 = newarray (java.lang.String)[0]	C	[r0, r1, r2]
r1 := @parameter0: java.io.File	R	[r0]
return 0	R	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0, $z2]
if $z2 != 0 goto i0 = i0 + 1	R	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0, $z2]
$z3 = virtualinvoke r1.<java.io.File: boolean delete()>()	U	[r0, r1, r2, i0, $i1]
return $z3	R	[r0, r1, r2, i0, $i1, $z3]
$z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean undeployDir(java.io.File)>(r3)	U	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0]
$z2 = virtualinvoke r3.<java.io.File: boolean delete()>()	U	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0]
$z0 = virtualinvoke r3.<java.io.File: boolean isDirectory()>()	U	[r0, r1, r2, i0, $i1, $r4, $r5, r3]
i0 = i0 + 1	U	[r0, r1, r2, i0, $i1, $r4, $r5, r3, $z0]
i0 = 0	U	[r0, r1, r2]
r2 = virtualinvoke r1.<java.io.File: java.lang.String[] list()>()	U	[r0, r1]
$r4 = new java.io.File	C	[r0, r1, r2, i0, $i1]
$r5 = r2[i0]	U	[r0, r1, r2, i0, $i1, $r4]
specialinvoke $r4.<java.io.File: void <init>(java.io.File,java.lang.String)>(r1, $r5)	R	[r0, r1, r2, i0, $i1, $r4, $r5]
$i1 = lengthof r2	U	[r0, r1, r2, i0]
if i0 < $i1 goto $r4 = new java.io.File	R	[r0, r1, r2, i0, $i1]
