Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
specialinvoke $r34.<java.io.File: void <init>(java.io.File,java.lang.String)>($r35, r5)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35]
interfaceinvoke r7.<org.apache.catalina.Context: void stop()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6]
$r21 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z6, $r44, $r45]
$z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5]
$r57[0] = $r58	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56, $r57, $r58]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void addServiced(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
r10 = $r36	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41]
$z3 = virtualinvoke r33.<java.io.File: boolean exists()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10]
$r39 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r5)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38]
$r49[0] = r6	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r49]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
$r46 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7, $z8]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r25)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r24, $r25]
$r22 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $r21]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7]
$r41 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40]
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	R	[r0, r1, r2, r3, $i0]
r2 := @parameter1: org.apache.catalina.util.ContextName	R	[r0, r1]
$r47 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r46)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7, $z8, $r46]
$r23 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.notDeployed", $r21)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $r21, $r22]
$r31 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".war")	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30]
r11 = $r48	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r48]
r6 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5]
specialinvoke $r29.<java.lang.StringBuilder: void <init>(java.lang.String)>($r30)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30]
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2]
$z2 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r4)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1]
throw r11	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r48, r11]
$r51 := @caughtexception	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6]
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	U	[r0, r1, r2, r3, $i0, $r12]
$r25 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.inService", $r24)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r24]
r9 = $r34	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35]
if $z1 != 0 goto $z2 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1]
$r48 := @caughtexception	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
$r42[0] = r33	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z4, $r42]
